listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,actual_rent,rent_index,startup_cost,coverage,rent_score,capital_score,cost_score,location_score,recom_score
878448,서울특별시 강남구 논현동,37.510091465,127.0232407833,카페/커피,월세,0,80000000,40000000,2100000,200000,19.83,1.0,T,3120185,11680521,4000.0,210.0,6.0,388874.5,478718.0,397097.625,0,4,0,0,186.72653394791874,111.65344853040301,10,1,1.0,0,4,2,36,2300000,0.427975477236561,125029609.0909091,0.9597726560334036,9.759665621734587,14.396589840501054,24.15625546223564,0.9363998726588925,94.38624591165257
878446,서울특별시 강남구 논현동,37.5173805242619,127.036349549921,일식/해산물,월세,0,190000000,50000000,4250000,0,126.87,2.0,T,3110966,11680531,5000.0,425.0,38.4,275094.25,298698.75,253435.3125,0,0,0,0,440.23926264480536,75.09451887861427,11,1,0.8,0,3,2,14,4250000,0.8528721401119451,272178845.45454544,0.4408865788213519,9.521060185837708,6.613298682320279,16.13435886815799,0.827412087194432,78.19026540774038
878443,서울특별시 강남구 논현동,37.513034799943,127.028480917929,노래방/PC방/당구장/기타,월세,0,250000000,42000000,4000000,0,279.13,-2.0,T,3120191,11680521,4200.0,400.0,84.4,378147.0,391751.0,381067.3125,0,1,0,0,295.08105541616703,131.5376191781939,8,0,0.3999999999999999,0,1,2,15,4000000,0.7443051778027148,362797518.1818182,0.33076301238604744,9.582027168234065,4.961445185790712,14.543472354024777,0.7130020253628496,68.0186242562385
878440,서울특별시 강남구 신사동,37.5175484929,127.0215599282,양식/레스토랑,월세,0,100000000,100000000,5800000,500000,115.7,2.0,T,3120186,11680510,10000.0,580.0,35.0,373769.5,469697.75,332457.375,1,2,0,0,165.3335380774795,55.96358486131476,9,0,0.8,0,3,4,29,6300000,1.1142238634916592,229345727.27272728,0.5232275369896103,9.3742952254885,7.848413054844155,17.222708280332654,0.8263312547129212,79.19755238380175
878289,서울특별시 강남구 논현동,37.5166820171,127.0286723368,양식/레스토랑,월세,0,250000000,65000000,6500000,0,99.17,1.0,T,3120190,11680521,6500.0,650.0,30.0,265091.5,267129.0,233949.25,0,1,0,0,370.07223396649175,170.81207379095122,6,0,1.0,0,1,1,15,6500000,1.2094959139294115,340153118.1818182,0.3527823018099095,9.320794148380356,5.291734527148642,14.612528675529,0.7214754662342198,68.72318864309548
878287,서울특별시 강남구 논현동,37.5173805242619,127.036349549921,기타주점,월세,0,150000000,50000000,4000000,0,106.28,1.0,T,3110966,11680531,5000.0,400.0,32.1,275094.25,298698.75,253435.3125,0,0,0,0,440.23926264480536,75.09451887861427,11,1,1.0,0,3,2,14,4000000,0.8027031906935954,226956472.72727272,0.5287357463657829,9.549233116082549,7.931036195486744,17.480269311569295,0.8625972723796171,82.17506474004057
878274,서울특별시 강남구 논현동,37.5128766449949,127.039533873431,양식/레스토랑,월세,0,100000000,15000000,1500000,0,63.57,-1.0,T,3110970,11680531,1500.0,150.0,19.2,50728.5,55023.25,53805.3125,0,0,1,0,428.2875503812178,279.9666761075273,1,0,0.6,0,0,0,14,1500000,0.3010136965100983,131123663.63636363,0.9151666196026056,9.830962418530957,13.727499294039085,23.558461712570043,0.32440987396672594,47.889202260074484
798486,서울특별시 강남구 신사동,37.5173936036,127.021098371,기타주점,월세,0,390000000,150000000,13600000,500000,213.9,1.0,T,3120186,11680510,15000.0,1360.0,64.7,373769.5,469697.75,332457.375,1,2,0,0,126.78907267049004,82.05000216392072,9,0,1.0,0,3,3,30,14100000,2.493739123052761,594252818.1818182,0.20193425479605326,8.599613123712357,3.029013821940799,11.628626945653156,0.8639839354780036,76.42742210650341
878159,서울특별시 강남구 논현동,37.5117680061,127.0351085284,퓨전/쌀국수,월세,0,25000000,20000000,1900000,0,30.25,1.0,T,3120196,11680531,2000.0,190.0,9.2,138882.5,141915.5,142196.125,0,1,0,0,421.9149806636858,99.98456809153764,6,1,1.0,0,0,3,11,1900000,0.38128401557945785,52672500.0,1.0,9.785885730139212,15.0,24.785885730139213,0.7072812659476918,77.83198067621609
878093,서울특별시 강남구 논현동,37.5111091372254,127.038188106398,기타,월세,0,100000000,30000000,1700000,0,33.06,1.0,T,3110970,11680531,3000.0,170.0,10.0,50728.5,55023.25,53805.3125,0,0,1,0,485.0489045607027,155.97818468962652,12,1,1.0,0,1,2,6,1700000,0.34114885604477807,138385218.1818182,0.867144638543239,9.808424074335084,13.007169578148584,22.81559365248367,0.5843597873399723,66.64257770298158
