nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd,success,flpop_lunch,flpop_dinner,flpop_etc,cnt_academy,cnt_hospital,cnt_school,cnt_company,dist_station,dist_bus_stop,cnt_crosswalk,is_road,floor_score,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,profile_weight,location_score,rank
바나프레소 이화여대점,커피숍,2025-09-08,서울 서대문구 이화여대길 42,1.0,33.0,37.5588780112567,126.945856403546,T,3130179.0,11410585,0,143965.75,175944.75,183620.25,2,0,0,0,231.04429968978488,219.69858928825192,15,1,1.0,0,3,5,26,0.5,0.6998810221535406,36
바나프레소 상암사보이시티점,커피숍,2025-09-10,서울 마포구 월드컵북로54길 17,1.0,52.13,37.581324224744,126.888548408154,T,3120098.0,11440740,0,104816.25,94691.5,75248.5625,0,0,0,0,1274.8439782603277,58.34442800910186,29,0,1.0,0,4,6,25,0.5,0.5305972412822642,54
바나프레소 양평역점,커피숍,2015-08-05,서울 영등포구 양산로 43,1.0,59.4,37.5257610278541,126.887942282336,T,3120135.0,11560610,1,82196.0,68874.0,71096.875,0,0,0,5,99.52828890193679,50.175301488133414,24,1,1.0,0,1,2,15,3.0,0.6168520845029305,46
바나프레소 군자능동점,커피숍,2025-09-11,서울 광진구 천호대로112길 7,1.0,24.0,37.555651258038,127.081594698592,T,3120055.0,11215780,0,300265.75,476211.75,419171.5,1,2,1,0,297.4779960583348,68.74428525260262,10,0,1.0,0,2,3,12,0.5,0.8318524129095428,16
바나프레소 명동중앙우체국점,커피숍,2021-10-29,서울 중구 명동8나길 51,1.0,193.85,37.5610796592227,126.982076857446,T,3120028.0,11140550,1,449272.25,410975.75,273562.8125,0,1,0,0,344.18648821664516,57.5477834924082,16,1,1.0,0,5,4,62,3.0,0.9322815768572865,4
바나프레소 서울대입구역점,커피숍,2023-09-11,서울 관악구 남부순환로 1832,1.0,33.0,37.4807059211487,126.953497637127,T,3120159.0,11620585,0,428149.75,704345.75,588800.625,0,2,1,0,90.49989801838542,93.5633890364171,23,0,1.0,0,7,9,26,1.0,0.8395538041657268,13
바나프레소 고려대이공대점,커피숍,2025-10-17,서울 성북구 고려대로24길 61,1.0,25.99,37.5834937035041,127.029607290684,T,3110313.0,11290600,0,286092.25,379041.25,293875.3125,1,2,0,0,311.3074952849716,21.932642522768216,6,0,1.0,0,2,3,9,0.5,0.7922743604599284,22
바나프레소 신림역점,커피숍,2025-10-31,서울 관악구 남부순환로 1605,1.0,56.0,37.4843862961147,126.929071163537,T,3120157.0,11620695,0,529906.5,884856.25,782700.625,1,3,0,0,67.65713498710568,52.57238009878134,20,1,1.0,0,4,10,34,0.5,0.930025592703594,5
바나프레소 군자역점,커피숍,2025-10-16,서울 광진구 천호대로 538,1.0,32.16,37.5573824118208,127.077892440485,T,3120055.0,11215730,0,300265.75,476211.75,419171.5,2,2,0,0,99.90843762347204,111.14354591017215,38,1,1.0,0,3,4,18,0.5,0.9146262612860965,6
바나프레소 강남세브란스점,커피숍,2025-11-17,서울 강남구 언주로 313,1.0,39.75,37.4956299175852,127.045648565273,T,3120206.0,11680650,0,196715.25,188168.0,198656.125,0,1,1,0,966.0515458190906,46.22931428621328,16,0,1.0,0,0,1,11,0.5,0.6288225294978117,44
바나프레소 강남면허시험장점,커피숍,2025-11-20,서울 강남구 테헤란로104길 19,-1.0,118.0,37.5079233067608,127.065436042484,T,3120222.0,11680610,0,235145.0,189896.0,154353.0,0,1,0,0,234.28235572852296,117.63274886494776,25,1,0.6,0,1,0,14,0.5,0.6688527413281118,41
바나프레소 을지로3가역점,커피숍,2025-04-30,서울 중구 을지로 108,1.0,44.43,37.5660532816543,126.989956138386,T,3120031.0,11140605,0,450343.75,441640.25,305304.6875,0,0,0,0,39.185191679939365,44.580538743979524,54,0,1.0,0,6,5,38,0.5,0.8373943386892542,14
바나프레소 그랑서울점,커피숍,2025-12-10,서울 종로구 종로 33,-1.0,25.97,37.5709617749066,126.981437983842,T,3120006.0,11110615,0,601535.0,617491.0,403711.1875,2,0,0,0,180.23808060318396,78.51559676024874,58,0,0.6,0,7,7,57,0.5,0.759090828625446,25
바나프레소 가산it캐슬점,커피숍,2025-12-10,서울 금천구 가산디지털1로 137,1.0,71.31,37.4776586934814,126.881930383681,T,3120131.0,11545510,0,231248.25,205386.0,190148.375,0,0,0,13,440.5680252483563,113.71231384289091,28,0,1.0,0,3,7,37,0.5,0.6767937659163362,39
바나프레소 마포역점,커피숍,2015-11-17,서울 마포구 마포대로 34,1.0,33.0,37.539260435206,126.946151540413,T,3120106.0,11440585,1,117808.75,141110.0,142316.5,0,1,0,0,41.34788498927355,61.9304117799583,31,0,1.0,0,2,4,14,3.0,0.6029074443131884,47
바나프레소 신대방삼거리역점,커피숍,2026-01-05,서울 동작구 상도로 58,1.0,50.83,37.4995662032729,126.926868762789,T,3120152.0,11590660,0,94539.75,152267.75,122590.5,0,0,1,0,121.48770536057224,30.601666879931354,26,1,1.0,0,1,6,17,0.5,0.6639204116428953,42
바나프레소 용산센트럴파크점,커피숍,2026-01-06,서울 용산구 서빙고로 17,1.0,40.53,37.5269056148241,126.966566172294,T,3120041.0,11170625,0,343655.0,399343.25,338297.4375,0,0,0,0,334.58188508237305,53.53725806215412,36,1,1.0,0,4,9,30,0.5,0.9425753737775701,2
바나프레소 강남역 신분당선점,커피숍,2026-01-08,서울 강남구 강남대로 302-2,-1.0,32.38,37.4903503986844,127.031507463771,T,3120192.0,11680640,0,374559.75,381841.25,370438.875,0,4,0,0,761.4848604584085,93.92110854691525,16,0,0.6,0,6,5,31,0.5,0.7431982701782424,29
바나프레소 동부이촌점,커피숍,2026-01-12,서울 용산구 이촌로 248,1.0,45.75,37.5193865878083,126.975025954742,T,3110078.0,11170630,0,14313.5,20469.25,19000.375,0,0,0,0,367.70775711716465,68.95446420368054,3,0,1.0,0,1,1,6,0.5,0.4729353185334214,58
바나프레소 동소문점,커피숍,2023-07-21,서울 성북구 아리랑로 15,1.0,60.0,37.5942413982281,127.015930395304,T,3120072.0,11290575,0,353409.25,580481.75,420896.0625,1,1,1,0,175.94950185443074,58.56191015805258,18,0,1.0,0,4,5,26,1.0,0.856114833793243,10
바나프레소 압구정SLP점,커피숍,2026-02-24,서울 강남구 논현로163길 23,1.0,131.66,37.5240370177398,127.026247469744,T,3120188.0,11680510,0,409384.0,460045.5,322143.0625,0,0,1,0,331.5690286606913,173.31534607658497,6,1,1.0,1,4,3,33,0.5,0.8567072292118789,9
