rank,listing_id,addr,lat,lng,floor,deposit_만원,monthly_rent_만원,size_평,flpop_lunch,flpop_dinner,flpop_etc,dist_station,dist_bus_stop,cnt_crosswalk,is_road,cnt_academy,cnt_hospital,cnt_school,cnt_company,cnt_banapresso,cnt_high_cafe,cnt_low_cafe,cnt_etc_cafe,rent_score,capital_score,cost_score,location_score,location_score_lr,success_prob,recom_score,final_score
11,784426,서울특별시 강남구 논현동,37.5171587845,127.0240212096,1.0,5000.0,310.0,15.0,568765.0,648546.5,510767.5,337.8174365443059,166.85597397778528,4,1,0,2,0,0,0,2,3,17,9.64994775339603,15.0,24.649947753396027,0.9397442956016786,0.5632320840658271,0.7083167269046985,95.13076992352191,87.84104075360628
12,923654,서울특별시 강남구 논현동,37.5156960576044,127.021405561234,1.0,7000.0,686.0,63.0,568765.0,648546.5,510767.5,125.92269933639099,128.72487924061483,15,1,1,1,0,0,0,3,1,25,9.059561128526646,14.65410755374838,23.713668682275028,0.9440008776010438,0.5852079097432894,0.7169404135297325,94.51373450235332,87.66782655753929
13,473413,서울특별시 강남구 논현동,37.5159156886,127.0225548585,1.0,3000.0,320.0,20.0,568765.0,648546.5,510767.5,205.9916370515559,127.41667495772008,9,1,1,2,0,0,0,4,2,18,9.644723092998955,15.0,24.644723092998955,0.9421400150371586,0.5896569481137458,0.6908053830717251,95.30522422078586,87.43781844670185
14,923958,서울특별시 강남구 신사동,37.5179413755,127.0213111846,2.0,3000.0,293.0,29.1,568765.0,648546.5,510767.5,188.92483346002052,94.80853603908741,9,1,1,2,0,0,0,3,4,34,9.660441446226978,15.0,24.660441446226976,0.9201010714463884,0.5707972935510949,0.7272880514612183,93.66802180470611,87.38625680713082
15,823072,서울특별시 강남구 논현동,37.5172992762,127.0243379786,1.0,2500.0,300.0,11.2,568765.0,648546.5,510767.5,368.951788595649,192.67666807401372,4,1,0,2,0,0,0,2,3,16,9.644723092998955,15.0,24.644723092998955,0.9332551151963415,0.5575245924557148,0.6970179686891231,94.63885673272458,87.15773877358089
16,888030,서울특별시 강남구 신사동,37.5178621262,127.0210939782,2.0,3000.0,270.0,27.2,568765.0,648546.5,510767.5,172.69494195453345,106.85752559116304,9,1,1,2,0,0,0,3,3,32,9.703010011277241,15.0,24.703010011277243,0.9143762352692298,0.5685133105676335,0.7269390697573636,93.28122765646948,87.10503145224955
17,837790,서울특별시 강남구 논현동,37.5159771527,127.0215051816,2.0,7000.0,452.0,57.9,568765.0,648546.5,510767.5,116.19882741910784,99.80823263123621,13,1,1,1,0,0,0,4,1,23,9.463949843260188,15.0,24.46394984326019,0.9152611195054611,0.573798080805008,0.7230403630628933,93.10853380616976,86.86718455620563
18,751861,서울특별시 강남구 논현동,37.5158561507,127.0308438008,2.0,2000.0,140.0,13.0,378147.0,391751.0,381067.3125,191.21552013381032,87.95496235678931,10,1,0,1,0,0,0,1,1,23,9.812358759023056,15.0,24.812358759023056,0.9114035978191971,0.503282129176392,0.7071563318561206,93.16762859546284,86.43202997250759
19,561250,서울특별시 서초구 잠원동,37.512221979,127.0203142074,1.0,10000.0,700.0,60.9,388874.5,478718.0,397097.625,164.72542370283753,87.21782917793819,16,1,0,3,0,0,0,2,5,32,8.905532819188112,11.916031696644312,20.821564515832424,0.9522211450048521,0.5534058867342555,0.7285903808440775,92.23815039119633,86.42441669915975
20,759458,서울특별시 강남구 논현동,37.512174962,127.0212507288,2.0,6500.0,350.0,34.0,388874.5,478718.0,397097.625,114.22315960934577,105.33175404300016,16,1,0,5,0,0,0,2,4,27,9.566353187042843,14.573868905841028,24.14022209288387,0.8990775665439322,0.5409830444041391,0.7356234014883648,91.5710395836788,86.1684297532261
21,870413,서울특별시 강남구 논현동,37.5161355747834,127.022337745833,1.0,4000.0,360.0,28.5,568765.0,648546.5,510767.5,181.57970356858058,96.38696293306131,9,1,1,2,0,0,0,4,2,19,9.592476489028213,11.696087446093145,21.28856393512136,0.9505900719619617,0.5958701523047853,0.7022891181551846,92.58281933226849,85.87664707724348
22,553041,서울특별시 강남구 논현동,37.5110067013,127.0241594896,1.0,10000.0,800.0,60.0,388874.5,478718.0,397097.625,223.16589453219066,111.98652368537611,10,1,0,4,0,0,0,2,2,30,9.16405433646813,11.976359392399367,21.140413728867497,0.9386200069776861,0.5421531612740764,0.7259159975838744,91.53691425219395,85.85331990405199
23,926904,서울특별시 강남구 논현동,37.5058198768,127.0271119482,2.0,4000.0,310.0,45.0,589152.0,788268.0,560948.125,662.007966885416,139.34593121944957,7,1,0,0,0,0,0,2,2,28,9.623824451410659,15.0,24.62382445141066,0.9017758749980078,0.5359907859990057,0.7089304160217248,92.25701507626124,85.8478230340346
24,918170,서울특별시 강남구 논현동,37.5058198768,127.0271119482,2.0,4000.0,310.0,45.0,589152.0,788268.0,560948.125,662.007966885416,139.34593121944957,7,1,0,0,0,0,0,2,2,28,9.623824451410659,15.0,24.62382445141066,0.9017758749980078,0.5359907859990057,0.7089304160217248,92.25701507626124,85.8478230340346
25,705216,서울특별시 서초구 잠원동,37.5121752136097,127.019802946592,1.0,5000.0,500.0,40.0,388874.5,478718.0,397097.625,197.17359539539024,113.66691354096322,16,1,0,2,0,0,0,2,4,33,9.360708422422963,11.006593561020471,20.367301983443433,0.9493065039155643,0.5410360423499073,0.721781185180918,91.56528977711076,85.74913839940507
26,544556,서울특별시 강남구 역삼동,37.5055343305423,127.030509307767,3.0,2500.0,280.0,28.0,589152.0,788268.0,560948.125,396.7364416516528,93.5436516495798,4,1,0,1,0,0,0,1,0,20,9.757332828858495,15.0,24.757332828858495,0.8752117928263089,0.5361298009223063,0.7481703730819323,90.39821729083167,85.72386329604014
27,900192,서울특별시 강남구 논현동,37.5172992762,127.0243379786,2.0,2500.0,280.0,30.0,568765.0,648546.5,510767.5,368.951788595649,192.67666807401372,4,1,0,2,0,0,0,2,3,16,9.6760710553814,15.0,24.6760710553814,0.8980699300111563,0.5375245924557148,0.7002825748858295,92.03131580621812,85.43039831092756
28,903283,서울특별시 강남구 신사동,37.5177719631,127.0214423515,3.0,3000.0,230.0,24.8,568765.0,648546.5,510767.5,178.6583301322411,74.80791496390219,9,1,1,2,0,0,0,3,4,30,9.739638776553047,15.0,24.739638776553047,0.8737578596388479,0.55605045666059,0.7272202034099124,90.27147824946664,85.00664087692402
29,543345,서울특별시 강남구 논현동,37.5121622790434,127.028804866919,1.0,3000.0,300.0,28.0,378147.0,391751.0,381067.3125,327.4626879754473,194.06774988406158,8,1,0,0,0,0,0,1,2,19,9.655172413793103,15.0,24.655172413793103,0.9202713768375951,0.4961188441682441,0.6458970479462293,93.67552567661272,84.94977941201579
30,539198,서울특별시 서초구 반포동,37.5097461058,127.0198023048,-1.0,2000.0,185.0,35.0,388874.5,478718.0,397097.625,230.54852983231333,79.96361197053588,10,1,0,2,0,0,0,2,3,26,9.82647610561327,15.0,24.82647610561327,0.8766992456862394,0.5022746782128487,0.7179256803405101,90.57891953208122,84.94301408267215
31,913477,서울특별시 강남구 역삼동,37.5044520198,127.0345215252,4.0,3000.0,180.0,23.0,985131.5,882135.0,752222.8125,332.9408713764114,119.95689960320556,9,1,0,1,0,0,0,0,2,24,9.813666279302058,15.0,24.81366627930206,0.8169302358678713,0.5797809579235017,0.8213047967353732,86.0834339693924,84.89754768063587
32,878836,서울특별시 강남구 신사동,37.5201861071,127.0242574698,1.0,5000.0,330.0,23.0,373769.5,469697.75,332457.375,543.5323430044554,195.30052894357817,3,1,0,1,0,0,0,2,2,39,9.673311012404964,15.0,24.673311012404966,0.908999268637741,0.4841563604827426,0.6623879996194861,92.84825616023555,84.86541930074947
33,925172,서울특별시 강남구 신사동,37.5201861071,127.0242574698,1.0,5000.0,320.0,20.0,373769.5,469697.75,332457.375,543.5323430044554,195.30052894357817,3,1,0,1,0,0,0,2,2,39,9.653511679823447,15.0,24.653511679823445,0.908999268637741,0.4841563604827426,0.6623879996194861,92.82845682765404,84.8515597679424
34,920870,서울특별시 강남구 신사동,37.5201861071,127.0242574698,1.0,5000.0,350.0,20.0,373769.5,469697.75,332457.375,543.5323430044554,195.30052894357817,3,1,0,1,0,0,0,2,2,39,9.653511679823447,15.0,24.653511679823445,0.908999268637741,0.4841563604827426,0.6623879996194861,92.82845682765404,84.8515597679424
35,919648,서울특별시 강남구 논현동,37.5119657772,127.0220786176,-1.0,3000.0,250.0,48.0,388874.5,478718.0,397097.625,92.96941782315452,77.35425794625056,18,1,0,5,0,0,0,2,4,29,9.738766980146291,15.0,24.73876698014629,0.8541140934445026,0.5272119514544854,0.7503531972301974,88.797323988484,84.66872270884471
36,925356,서울특별시 강남구 신사동,37.5178621262,127.0210939782,3.0,3000.0,220.0,25.3,568765.0,648546.5,510767.5,172.69494195453345,106.85752559116304,9,1,1,2,0,0,0,3,3,32,9.752508342731034,15.0,24.752508342731034,0.8643762352692298,0.5485133105676335,0.730006161018706,89.58072598792327,84.60669302210746
37,915656,서울특별시 강남구 신사동,37.5178621262,127.0210939782,3.0,3000.0,220.0,25.0,568765.0,648546.5,510767.5,172.69494195453345,106.85752559116304,9,1,1,2,0,0,0,3,3,32,9.752508342731034,15.0,24.752508342731034,0.8643762352692298,0.5485133105676335,0.730006161018706,89.58072598792327,84.60669302210746
38,910229,서울특별시 강남구 논현동,37.5120010429,127.0258926204,1.0,2000.0,150.0,16.0,378147.0,391751.0,381067.3125,386.44553284155563,215.873237276123,8,1,0,2,0,0,0,0,2,22,9.843260188087775,15.0,24.843260188087775,0.9104645798651827,0.49265362937135077,0.6465052544538782,93.12810367797647,84.58483020819986
39,917977,서울특별시 강남구 논현동,37.5136913380466,127.033387325488,2.0,4000.0,310.0,30.0,378147.0,391751.0,381067.3125,180.1273986038871,157.581552301055,15,1,0,2,0,0,0,2,3,19,9.624717518046111,15.0,24.62471751804611,0.8904232552719714,0.507331161971645,0.6846488562010293,91.40646166344396,84.52398885044164
40,914521,서울특별시 강남구 논현동,37.5122864877654,127.03004944366,2.0,5000.0,470.0,30.0,378147.0,391751.0,381067.3125,247.36733353829916,143.09445856716786,9,1,0,1,0,0,0,1,3,17,9.508881922675027,15.0,24.508881922675027,0.899322837541454,0.49606785092742695,0.6671270514133532,91.95809473828409,84.38447785919945
41,918220,서울특별시 강남구 논현동,37.5122864877654,127.03004944366,2.0,5000.0,470.0,30.0,378147.0,391751.0,381067.3125,247.36733353829916,143.09445856716786,9,1,0,1,0,0,0,1,3,17,9.508881922675027,15.0,24.508881922675027,0.899322837541454,0.49606785092742695,0.6671270514133532,91.95809473828409,84.38447785919945
42,922893,서울특별시 강남구 논현동,37.5122864877654,127.03004944366,2.0,5000.0,470.0,30.0,378147.0,391751.0,381067.3125,247.36733353829916,143.09445856716786,9,1,0,1,0,0,0,1,3,17,9.508881922675027,15.0,24.508881922675027,0.899322837541454,0.49606785092742695,0.6671270514133532,91.95809473828409,84.38447785919945
43,746495,서울특별시 강남구 역삼동,37.5052604993932,127.0302196666,-1.0,8000.0,380.0,32.0,589152.0,788268.0,560948.125,434.8872696672197,131.94893687161056,4,1,0,0,0,0,0,1,0,20,9.653332612654992,15.0,24.653332612654992,0.8594226318718243,0.5235920576026839,0.7332659715291877,89.11003000304181,84.3750001480049
44,551039,서울특별시 강남구 논현동,37.5054955635,127.0268992068,2.0,10000.0,630.0,65.0,589152.0,788268.0,560948.125,690.6260580779476,104.31514978798992,11,1,0,0,0,0,0,3,2,29,9.341692789968652,11.649998734974883,20.991691524943533,0.9141187666224803,0.5456083944679533,0.7153581020571098,89.55059902162955,84.14616237685398
45,819006,서울특별시 강남구 논현동,37.515876072,127.0224100612,1.0,3000.0,480.0,32.9,568765.0,648546.5,510767.5,195.02295451406061,124.36029799874397,11,1,1,2,0,0,0,4,2,19,9.493207941483803,10.135239413550478,19.628447355034282,0.942799288477536,0.5914724769200955,0.6955220154042904,90.33839399084948,84.10253625572335
46,681181,서울특별시 강남구 논현동,37.5110067013,127.0241594896,3.0,3000.0,220.0,17.0,388874.5,478718.0,397097.625,223.16589453219066,111.98652368537611,10,1,0,4,0,0,0,2,2,30,9.759665621734587,15.0,24.759665621734587,0.853434821792501,0.5021531612740764,0.7320428402501397,88.76727725617215,84.09837928682468
47,869359,서울특별시 강남구 논현동,37.5075545742137,127.031500781712,1.0,4000.0,650.0,60.2,318800.0,380357.25,434233.75,247.50942702966128,86.99708235773963,12,1,1,3,0,0,0,1,0,20,9.237199582027168,15.0,24.237199582027166,0.9108090270179394,0.5313978747532073,0.6425307444112118,92.54787660837263,84.05943595819718
48,840478,서울특별시 서초구 잠원동,37.5112740724,127.0206035034,-1.0,1000.0,100.0,22.1,388874.5,478718.0,397097.625,93.99878724183404,129.74284242561714,15,1,0,4,0,0,0,2,4,33,9.82099835827843,15.0,24.82099835827843,0.8435119433681627,0.5114774701958095,0.7450816109600131,88.08439411089063,84.01152420642383
49,926429,서울특별시 서초구 잠원동,37.5112740724,127.0206035034,3.0,1201.0,120.0,15.6,388874.5,478718.0,397097.625,93.99878724183404,129.74284242561714,15,1,0,4,0,0,0,2,4,33,9.748119118434648,15.0,24.748119118434648,0.8435119433681627,0.5114774701958095,0.7450816109600131,88.01151487104686,83.96050873853319
50,564105,서울특별시 강남구 논현동,37.5171047527,127.0238809291,3.0,2000.0,145.0,24.0,568765.0,648546.5,510767.5,324.30166866070186,155.95630178758827,4,1,0,2,0,0,0,2,3,16,9.848484848484848,15.0,24.848484848484848,0.856803713590915,0.5261358801020029,0.7164348269208872,89.10876336780348,83.86917916508904
51,919883,서울특별시 강남구 논현동,37.5158436853983,127.022147628112,3.0,4000.0,320.0,41.8,568765.0,648546.5,510767.5,174.39078260934252,118.35673802222865,12,1,1,2,0,0,0,4,1,22,9.665621734587251,15.0,24.66562173458725,0.8574866578620947,0.5513104066845563,0.7163402829179477,88.97712107424435,83.77419323950947
52,834495,서울특별시 강남구 논현동,37.5125460768,127.021793755,-1.0,6000.0,360.0,65.0,388874.5,478718.0,397097.625,150.030476491841,115.50287545220623,17,1,0,5,0,0,0,2,4,29,9.561128526645767,15.0,24.561128526645767,0.847287814238248,0.5171632341499418,0.7363929573054409,88.10771459451436,83.76718893532328
53,924118,서울특별시 강남구 논현동,37.5069832615,127.0300620208,2.0,5000.0,360.0,35.5,318800.0,380357.25,434233.75,378.4690952728541,119.63467766781544,4,1,0,1,0,0,0,1,0,21,9.571577847439915,15.0,24.571577847439915,0.8857969026810202,0.4812683925988159,0.6685622580071433,91.00634554851642,83.7613096241758
54,790004,서울특별시 강남구 논현동,37.5168849097,127.0238718099,1.0,5000.0,270.0,15.0,568765.0,648546.5,510767.5,318.77030967220117,162.75116671510497,3,1,0,2,0,0,0,3,3,15,9.717868338557993,9.858809401380562,19.576677739938553,0.9283838793990822,0.5686862133602245,0.7082189014780365,89.20546869486972,83.69039513074989
55,843423,서울특별시 강남구 논현동,37.5055567760198,127.027143520445,2.0,5000.0,600.0,40.0,589152.0,788268.0,560948.125,667.8946428814588,126.81094757915399,10,1,0,0,0,0,0,2,2,30,9.16405433646813,11.723456451533544,20.887510788001673,0.9046078875252125,0.5386569802599604,0.7152318002860076,88.7331023523926,83.57012565525505
56,909677,서울특별시 강남구 신사동,37.5188458245025,127.022171139001,1.0,5000.0,200.0,10.0,373769.5,469697.75,332457.375,313.97794074617394,156.07621919559452,2,1,1,2,0,0,0,2,4,38,9.802006674184828,14.02030565116035,23.822312325345177,0.9073304692401308,0.5157783212889543,0.6413633446495338,91.87209751835499,83.5513686023345
57,704515,서울특별시 강남구 역삼동,37.5074352295,127.037535905,1.0,3000.0,180.0,8.0,319506.5,309264.5,303520.875,288.7080785076887,126.99578369966649,14,1,0,1,0,0,0,2,5,23,9.843999675694747,15.0,24.843999675694747,0.8915252552757528,0.5050216129270034,0.6450635349215987,91.7083938213762,83.5477817226113
58,921430,서울특별시 강남구 논현동,37.515876072,127.0224100612,-1.0,2000.0,200.0,28.2,568765.0,648546.5,510767.5,195.02295451406061,124.36029799874397,11,1,1,2,0,0,0,4,2,19,9.785788923719958,15.0,24.785788923719956,0.8576141032923509,0.5514724769200955,0.7020494137996963,89.10684667064626,83.43627508344326
59,896512,서울특별시 강남구 논현동,37.5148729389,127.0281015599,2.0,2000.0,124.0,26.0,378147.0,391751.0,381067.3125,307.5932706880491,176.87629198794752,12,1,0,1,0,0,0,1,1,12,9.843260188087775,15.0,24.843260188087775,0.8870437580814661,0.4866778060357894,0.6489449373309143,91.37154204419772,83.42842755086582
60,920866,서울특별시 강남구 논현동,37.515876072,127.0224100612,3.0,2000.0,225.0,33.8,568765.0,648546.5,510767.5,195.02295451406061,124.36029799874397,11,1,1,2,0,0,0,4,2,19,9.733542319749217,15.0,24.73354231974922,0.8576141032923509,0.5514724769200955,0.7020494137996963,89.05460006667553,83.39970246066375
61,768320,서울특별시 강남구 논현동,37.5161266341892,127.0204625401,2.0,15000.0,700.0,32.0,568765.0,648546.5,510767.5,36.02041494585789,105.31268156680149,13,1,1,0,0,0,0,3,2,28,9.216300940438872,10.17914210498798,19.395443045426852,0.9098424714574415,0.5698503222130531,0.7345045175635402,87.63362840473496,83.37867541022067
62,685491,서울특별시 강남구 논현동,37.5134434247751,127.022074528478,-1.0,4000.0,300.0,29.0,388874.5,478718.0,397097.625,251.88237172892144,140.43017117793912,14,1,0,3,0,0,0,2,1,23,9.686520376175547,15.0,24.686520376175547,0.8512330609940979,0.49438878008877585,0.7097346902855046,88.5289999507329,83.26234067407816
63,731042,서울특별시 강남구 논현동,37.5159156886,127.0225548585,-1.0,2000.0,209.0,45.0,568765.0,648546.5,510767.5,205.9916370515559,127.41667495772008,9,1,1,2,0,0,0,4,2,18,9.781609195402298,15.0,24.781609195402297,0.8569548298519735,0.5496569481137459,0.697389903094182,89.05322143430031,83.25895209683567
64,913009,서울특별시 강남구 역삼동,37.507269423,127.0376036824,1.0,2000.0,210.0,15.0,319506.5,309264.5,303520.875,295.3717823641073,134.68504729878077,13,1,0,1,0,0,0,2,5,22,9.804999594618433,15.0,24.804999594618433,0.8892145410240503,0.5031817680828142,0.6398918360602942,91.49609017142221,83.24401820180438
65,891297,서울특별시 강남구 논현동,37.5159156886,127.0225548585,3.0,2500.0,259.0,35.0,568765.0,648546.5,510767.5,205.9916370515559,127.41667495772008,9,1,1,2,0,0,0,4,2,18,9.729362591431558,15.0,24.72936259143156,0.8569548298519735,0.5496569481137459,0.697389903094182,89.00097483032957,83.22237947405615
66,828581,서울특별시 강남구 신사동,37.5186151761695,127.022125823676,1.0,7000.0,400.0,30.0,373769.5,469697.75,332457.375,290.20524845936734,130.54780013844348,2,1,1,2,0,0,0,3,4,39,9.584214015788138,12.40069812172638,21.98491213751452,0.9170422983415599,0.5246045596885721,0.6535736662308289,90.7630845131315,83.14136914611692
67,649815,서울특별시 강남구 신사동,37.5178474933184,127.022274910853,3.0,3000.0,220.0,20.0,373769.5,469697.75,332457.375,233.6542361348906,46.1170618998295,6,1,1,2,0,0,0,3,4,36,9.762408009021792,15.0,24.76240800902179,0.8647716526614421,0.5049451028389157,0.6798041207664686,89.62028195862993,83.12832099403501
68,480942,서울특별시 강남구 논현동,37.5122058565,127.0285620407,1.0,4000.0,160.0,10.0,378147.0,391751.0,381067.3125,340.15812517874457,198.94937099096404,7,1,0,0,0,0,0,1,2,21,9.818181818181818,12.129759015994741,21.94794083417656,0.9201507362913613,0.4934195301001949,0.647392486427625,90.95924605602866,83.0932468320488
69,922719,서울특별시 강남구 논현동,37.5110067013,127.0241594896,1.0,10000.0,800.0,66.9,388874.5,478718.0,397097.625,223.16589453219066,111.98652368537611,10,1,0,4,0,0,0,2,2,30,8.328108672936258,8.734514433785101,17.06262310672136,0.9386200069776861,0.5421531612740764,0.7259159975838744,87.45912363004781,82.99886646854969
70,897784,서울특별시 서초구 잠원동,37.5130042353,127.0192104732,4.0,2000.0,130.0,14.0,568765.0,648546.5,510767.5,295.6207929740858,124.06318900005928,13,1,0,2,0,0,0,2,4,30,9.82099835827843,15.0,24.82099835827843,0.817393139979979,0.5148680777993155,0.7544994443272679,86.12548385677685,82.92282202956183
71,904592,서울특별시 강남구 논현동,37.5170397937,127.0243062221,3.0,2000.0,190.0,19.0,568765.0,648546.5,510767.5,359.73812046765124,194.36265076289604,4,1,0,2,0,0,0,2,3,15,9.781609195402298,15.0,24.781609195402297,0.8467127779584603,0.5180801156805086,0.7023586846002682,88.28506754228682,82.87030781760882
72,909618,서울특별시 강남구 논현동,37.509266183,127.0230459892,2.0,5500.0,400.0,16.9,388874.5,478718.0,397097.625,247.41647197041496,58.3714967026829,12,1,0,2,1,0,0,4,2,25,9.582027168234065,15.0,24.582027168234063,0.9139195503557903,0.5416663881289097,0.5880059403650997,93.12599344491834,82.82837362239582
73,921646,서울특별시 강남구 논현동,37.5146271521,127.0309564067,1.0,15000.0,1200.0,87.5,378147.0,391751.0,381067.3125,64.88989145244996,72.16153411587966,12,1,0,1,0,0,0,1,1,23,8.635336429258588,8.058034452492576,16.693370881751164,0.9395966395242266,0.5338936016519789,0.7243163123077397,87.16311884606816,82.7436725614799
74,473416,서울특별시 강남구 논현동,37.5082903037,127.0345142445,1.0,2000.0,175.0,23.0,319506.5,309264.5,303520.875,95.96297996202783,75.19668289108758,15,1,1,3,0,0,0,1,2,24,9.772556071543098,15.0,24.7725560715431,0.8729211563425664,0.528441441180159,0.6503972530792587,90.24164279723558,82.68106755044266
75,844283,서울특별시 강남구 신사동,37.5179413755,127.0213111846,2.0,4000.0,400.0,25.4,568765.0,648546.5,510767.5,188.92483346002052,94.80853603908741,9,1,1,2,0,0,0,3,4,34,9.56441468320662,8.13355460983585,17.69796929304247,0.9201010714463884,0.5707972935510949,0.7272880514612183,86.70554965152161,82.51252629990168
76,911952,서울특별시 강남구 신사동,37.5183737945,127.0216551843,3.0,5000.0,370.0,31.9,373769.5,469697.75,332457.375,245.65849392795027,113.50287484666372,4,1,1,2,0,0,0,3,4,34,9.623812680951172,15.0,24.623812680951172,0.8662606905249003,0.4926089713436011,0.6596617581227594,89.5933644703187,82.50520787290587
77,916566,서울특별시 강남구 논현동,37.508632601803,127.034799420754,1.0,3000.0,294.0,20.0,319506.5,309264.5,303520.875,139.4703487096714,93.45559539517212,18,1,1,3,0,0,0,1,4,28,9.665657425168355,15.0,24.665657425168355,0.875032895548776,0.52684616335296,0.6414685042668746,90.29312459132655,82.44924234193482
78,891248,서울특별시 강남구 역삼동,37.5057858107741,127.033468062783,1.0,1500.0,150.0,7.0,319506.5,309264.5,303520.875,197.98460754555026,94.67497683441367,14,1,1,2,0,0,0,1,2,24,9.869999729745622,15.0,24.869999729745622,0.8805933316957909,0.5150612785700072,0.6264382597113223,90.91449960692995,82.43329751619063
79,762576,서울특별시 강남구 역삼동,37.5057858107741,127.033468062783,1.0,1200.0,158.0,7.0,319506.5,309264.5,303520.875,197.98460754555026,94.67497683441367,14,1,1,2,0,0,0,1,2,24,9.863066381998722,15.0,24.86306638199872,0.8805933316957909,0.5150612785700072,0.6264382597113223,90.90756625918304,82.4284441727678
80,864426,서울특별시 강남구 논현동,37.5085679026,127.0342067334,1.0,3000.0,200.0,10.0,319506.5,309264.5,303520.875,124.77917554746752,63.05146715977603,15,1,1,3,0,0,0,1,5,24,9.766869973331676,15.0,24.766869973331676,0.8757520088161442,0.5343545220093746,0.6356472508839062,90.4482706345425,82.38320697069693
81,891172,서울특별시 강남구 역삼동,37.5054397708254,127.033657912646,1.0,2000.0,190.0,7.8,319506.5,309264.5,303520.875,229.48790016566934,74.2534867561308,16,1,1,2,0,0,0,1,1,20,9.826666306327496,15.0,24.826666306327496,0.8819044968888741,0.5173112231536201,0.6211764829199559,90.96950357299305,82.3139469886938
82,920019,서울특별시 강남구 논현동,37.5127895891262,127.029046369312,3.0,5000.0,327.0,50.8,378147.0,391751.0,381067.3125,266.10988100762916,121.67398259031013,8,1,0,1,0,0,0,1,2,16,9.576802507836991,15.0,24.57680250783699,0.8547426330752763,0.4766333902842523,0.6737504468160848,88.68249998848272,82.29026339642044
