road_address,lng,lat,type
서울 은평구 갈현로47길,126.917053907739,37.6280754634044,도로노선
서울 은평구 갈현로4길,126.912881483795,37.6012552601439,도로노선
서울 은평구 갈현로5길,126.908389220459,37.6019339984393,도로노선
서울 은평구 갈현로7가길,126.908945984659,37.602722525404,도로노선
서울 은평구 갈현로7길,126.907616282009,37.6045386987135,도로노선
서울 은평구 갈현로9길,126.909438216751,37.6049069938836,도로노선
서울 송파구 감이남로,127.159828191857,37.4939172797722,도로노선
서울 송파구 감이천자전거길,127.138166036045,37.5154407707809,도로노선
서울 송파구 감일남로,127.150045898357,37.50412084128,도로노선
서울 강동구 감초로,127.173439660686,37.5462541346418,도로노선
서울 강남구 강남대로,127.013953355824,37.5262280049871,도로노선
서울 강남구 강남대로100길,127.028064335665,37.5018544192098,도로노선
서울 서초구 강남대로101길,127.018186002308,37.517032425139,도로노선
서울 서초구 강남대로101안길,127.017531752476,37.5161045804733,도로노선
서울 강남구 강남대로102길,127.027361025886,37.5025070024763,도로노선
서울 서초구 강남대로105길,127.018437805649,37.5175273073073,도로노선
서울 강남구 강남대로106길,127.026771088978,37.5030235940974,도로노선
서울 서초구 강남대로107길,127.017961417513,37.5182359297697,도로노선
서울 서초구 강남대로109길,127.016734257826,37.5174382715086,도로노선
서울 서초구 강남대로10길,127.042030656368,37.4695142607942,도로노선
서울 강남구 강남대로110길,127.028319646257,37.5041119180137,도로노선
서울 강남구 강남대로112길,127.026823793189,37.5058750840938,도로노선
서울 강남구 강남대로114길,127.026636202233,37.5063043654051,도로노선
서울 강남구 강남대로116길,127.025870600483,37.5065342918652,도로노선
서울 강남구 강남대로118길,127.026420498895,37.5072010039905,도로노선
서울 강남구 강남대로120길,127.026887726906,37.5078593529799,도로노선
서울 강남구 강남대로122길,127.025554701684,37.5084899017791,도로노선
서울 강남구 강남대로124길,127.025449476808,37.5093726388373,도로노선
서울 강남구 강남대로126길,127.02609510601,37.5107668926318,도로노선
서울 강남구 강남대로128길,127.025228100622,37.5109574632259,도로노선
서울 서초구 강남대로12길,127.040523966218,37.4700607995806,도로노선
서울 강남구 강남대로130길,127.022287409671,37.5108088483539,도로노선
서울 강남구 강남대로132길,127.023575597321,37.5126840387414,도로노선
서울 강남구 강남대로136길,127.022960570306,37.513613095118,도로노선
서울 강남구 강남대로140길,127.022906132597,37.5142494847962,도로노선
서울 강남구 강남대로146길,127.021831460091,37.5150131088957,도로노선
서울 강남구 강남대로150길,127.020360521527,37.5157478698746,도로노선
서울 강남구 강남대로152길,127.022138744038,37.5179338350358,도로노선
서울 강남구 강남대로154길,127.021268351265,37.5180750019975,도로노선
서울 강남구 강남대로156길,127.021108075322,37.518514540165,도로노선
서울 강남구 강남대로158길,127.020975521195,37.5193929518106,도로노선
서울 강남구 강남대로160길,127.020801321938,37.5198142015734,도로노선
서울 강남구 강남대로162길,127.020754534737,37.5203824724196,도로노선
서울 서초구 강남대로16길,127.039959689609,37.4709882217301,도로노선
서울 서초구 강남대로18길,127.039631013786,37.4719614236861,도로노선
서울 서초구 강남대로23길,127.036791384377,37.4758967825956,도로노선
서울 서초구 강남대로25길,127.03654050644,37.4763351115779,도로노선
서울 서초구 강남대로27길,127.035180635027,37.4786219260619,도로노선
서울 서초구 강남대로2길,127.044789961966,37.4676575251572,도로노선
서울 서초구 강남대로30길,127.039406831166,37.4822776978142,도로노선
서울 서초구 강남대로34길,127.038400882679,37.4837696488925,도로노선
서울 서초구 강남대로37길,127.031749844341,37.4848832876571,도로노선
서울 서초구 강남대로39길,127.032281230814,37.4861330223841,도로노선
서울 서초구 강남대로41길,127.031823709513,37.4870924498683,도로노선
서울 강남구 강남대로42길,127.035723164234,37.4854391564716,도로노선
서울 서초구 강남대로43길,127.030751442452,37.4873127599907,도로노선
서울 강남구 강남대로44길,127.034817281992,37.4859606601826,도로노선
서울 서초구 강남대로45길,127.031315907087,37.4881655058623,도로노선
서울 서초구 강남대로47길,127.030184192192,37.4884974614159,도로노선
서울 강남구 강남대로48길,127.034236192559,37.4868845435612,도로노선
서울 서초구 강남대로49길,127.030518636096,37.4898284342457,도로노선
서울 서초구 강남대로4길,127.042559714063,37.4667461658424,도로노선
서울 서초구 강남대로51길,127.029817592716,37.4912939218152,도로노선
서울 서초구 강남대로53길,127.027482254423,37.4941546454341,도로노선
서울 강남구 강남대로54길,127.033376253409,37.488312797172,도로노선
서울 서초구 강남대로55길,127.026695002366,37.4957895227089,도로노선
서울 강남구 강남대로58길,127.034445134316,37.4898150109096,도로노선
