addr,type,lat,lng
서울특별시 마포구 대흥로 지하85(대흥동),지하철,37.5476683544726,126.942465251709
서울특별시 마포구 백범로 지하200(공덕동),지하철,37.543526917067,126.951947569181
서울특별시 용산구 백범로 지하287(효창동),지하철,37.5393766399926,126.961258439813
서울특별시 용산구 한강대로 지하185(한강로1가),지하철,37.5356450533976,126.974080538316
서울특별시 용산구 녹사평대로 지하195(용산동4가),지하철,37.5348314193581,126.987028473368
서울특별시 용산구 이태원로 지하177(이태원동),지하철,37.534483277545,126.993721655506
서울특별시 용산구 이태원로 지하287(한남동),지하철,37.5402951544226,127.001748287649
서울특별시 중구 다산로 지하38(신당동),지하철,37.5480418375007,127.007084969776
서울특별시 중구 다산로 지하115(신당동),지하철,37.5538914380831,127.010120543543
서울특별시 중구 청구로 지하77(신당동),지하철,37.5602939125022,127.013806006802
서울특별시 중구 다산로 지하260(흥인동),지하철,37.5662738884121,127.016153533586
서울특별시 종로구 지봉로 지하24(숭인동),지하철,37.5722005208773,127.015678133819
서울특별시 종로구 지봉로 지하112(창신동),지하철,37.5800168892429,127.015211194258
서울특별시 성북구 보문로 지하116(보문동1가),지하철,37.5853277238848,127.019386983515
서울특별시 성북구 고려대로 지하89(안암동5가),지하철,37.5862804833256,127.029213030111
서울특별시 성북구 종암로 지하1(종암동),지하철,37.5909411446657,127.036326984187
서울특별시 성북구 월곡로 지하107(하월곡동),지하철,37.6014244753138,127.041187033214
서울특별시 성북구 화랑로 지하157(상월곡동),지하철,37.6062644995455,127.048327301764
서울특별시 성북구 화랑로 지하243(석관동),지하철,37.6105454752639,127.056415926651
서울특별시 노원구 화랑로 지하 347-1(월계동) ,지하철,37.6150480846952,127.066118430844
서울특별시 노원구 동일로 지하 992-1(공릉동),지하철,37.6185137762138,127.075368429731
서울특별시 노원구 화랑로 지하510(공릉동),지하철,37.6198943887187,127.083744624338
서울특별시 중랑구 신내로 지하232(신내동),지하철,37.6176537624438,127.090758129505
서울특별시 중랑구 용마산로136길 33 신내차량기지,지하철,37.6100945305971,127.110257980303
서울특별시 도봉구 도봉로 964-40(도봉동),지하철,37.6891205614059,127.046528790935
서울특별시 노원구 동일로 지하1662(상계동),지하철,37.6776259369995,127.055374584266
서울특별시 노원구 동일로 지하1530-1(상계동),지하철,37.6650864331785,127.057687709213
서울특별시 노원구 동일로 지하1409(상계동),지하철,37.6546947161168,127.060517410251
서울특별시 노원구 동일로 지하1308-1(중계동),지하철,37.6448906789921,127.064246723057
서울특별시 노원구 동일로 지하1196(하계동),지하철,37.6364521240646,127.067988537404
서울특별시 노원구 동일로 지하1074(공릉동),지하철,37.6254769202851,127.073005201049
서울특별시 노원구 동일로 지하 992-1(공릉동),지하철,37.6185137762138,127.075368429731
서울특별시 중랑구 동일로 지하901(묵동),지하철,37.6106250591244,127.077764798784
서울특별시 중랑구 동일로 지하797(중화동),지하철,37.6015796992834,127.079469204905
서울특별시 중랑구 망우로 297(상봉동),지하철,37.5967093285386,127.085741817289
