bus_stop_id,bus_stop_nm,lng,lat,type
1519,통인시장,126.9684956941,37.5804417494,버스정류장
1520,양현관,126.9936043615,37.5897914226,버스정류장
1521,국민생활관,126.9988619666,37.5897456349,버스정류장
1522,오거리,126.9622629001,37.6070621164,버스정류장
1523,경희궁자이2.3단지,126.9640686009,37.5687871134,버스정류장
1524,창신쌍용2단지.한성대후문,127.0127581151,37.5812647965,버스정류장
1525,통일부,126.9859476734,37.5875948053,버스정류장
1526,원서고개,126.9878088426,37.583080553,버스정류장
1528,종로5가입구,126.9976709493,37.5717928476,버스정류장
1529,삼청파출소,126.9812510491,37.581813662,버스정류장
1530,오거리.한옥마을입구,126.9696088803,37.579404615,버스정류장
1531,명륜시장.성대후문,126.9952543092,37.5885110529,버스정류장
1532,혜화초등학교,126.9998516643,37.5872532276,버스정류장
1533,청련사입구,126.9624312007,37.6079803769,버스정류장
1534,영천시장,126.9627388724,37.5700818569,버스정류장
3258,용산역광장앞,126.965617,37.528333,버스정류장
1535,명신초.삼선푸르지오.힐스테이트,127.014556281,37.5821062067,버스정류장
1536,감사원,126.9852900569,37.5862106518,버스정류장
1537,중앙중고,126.986965299,37.583092177,버스정류장
1538,인왕빌딩,126.9577443332,37.6079283311,버스정류장
1539,종로4가.종묘공원,126.9946203403,37.5706890289,버스정류장
1540,국립민속박물관,126.9795533717,37.5792551846,버스정류장
1541,광화문새마을금고,126.9711466491,37.5793687689,버스정류장
1542,새마을금고,126.996518051,37.5877370613,버스정류장
1543,혜화우체국,127.0006137149,37.5860376565,버스정류장
1544,언덕앞,126.9637921715,37.6089539753,버스정류장
1545,경희궁자이4단지,126.9621148375,37.5707022242,버스정류장
1546,종로센트레빌후문.e편한세상보문아파트,127.0161855253,37.5817743934,버스정류장
1547,사우디대사관앞.북촌힐스,126.9850311776,37.5841056738,버스정류장
1548,안국선원.삼거리,126.984994076,37.5827909789,버스정류장
1549,구기터널입구,126.9567768927,37.6082046142,버스정류장
1550,종로3가역9번출구,126.9920931881,37.5710875771,버스정류장
1551,경복궁,126.9793377561,37.576950157,버스정류장
1553,소나무집,126.964110466,37.6112770717,버스정류장
1554,독립문역3번출구,126.9597453483,37.5728784775,버스정류장
1555,청룡사.보문파크뷰자이아파트,127.01700714,37.5800189539,버스정류장
1556,북촌한옥마을입구.정세권활동터,126.9849422317,37.5815997311,버스정류장
1557,종로1.2.3.4가동주민센터,126.9911314256,37.5743837122,버스정류장
1558,창덕궁,126.9906200153,37.5760892484,버스정류장
1561,아름다운실버,126.965463701,37.6120100581,버스정류장
1562,독립문초등학교,126.9606775165,37.5738699714,버스정류장
1563,종로센트레빌아파트,127.0156926979,37.5803534405,버스정류장
1564,가회동주민센터,126.9849543284,37.579972942,버스정류장
1565,구기빌라,126.9579797248,37.6062686142,버스정류장
1566,원남로터리,126.997511497,37.5762373738,버스정류장
1567,보현산신각,126.9657790521,37.6134825236,버스정류장
1568,린덴바움숲유치원,126.9618040443,37.5746692802,버스정류장
1569,쌍용아파트입구.창신역,127.0149635738,37.580511226,버스정류장
1570,아름다운가게.정독도서관,126.9851271782,37.5789480833,버스정류장
1571,산정빌라,126.9574922002,37.6051519935,버스정류장
1572,이화사거리,127.0020914666,37.5765095598,버스정류장
1573,박종화고택입구,126.9676873462,37.6143102577,버스정류장
1574,무악현대아파트후문,126.9619411637,37.5763372261,버스정류장
1576,헌법재판소.안국역,126.9858152185,37.5773871956,버스정류장
1577,청구빌라,126.9569839726,37.6046102563,버스정류장
1578,서울대어린이병원응급실.갑상선센터,126.9995029662,37.5781188768,버스정류장
1580,화인빌라,126.9685386165,37.6129345305,버스정류장
1581,행촌주차장,126.9628880463,37.5752728058,버스정류장
1582,창신초등학교,127.0153885503,37.5769032044,버스정류장
1583,수운회관,126.986669266,37.5752189424,버스정류장
1584,상명대후문,126.9573354115,37.6040255786,버스정류장
1586,힐탑,126.9690205751,37.6116055569,버스정류장
1587,성결교신대원총회본부,126.9634445669,37.5739763092,버스정류장
1589,낙원상가,126.9874148722,37.5737563689,버스정류장
1590,완성빌라,126.9575011241,37.6034020863,버스정류장
1591,서울대병원장례식장,126.9974309648,37.5805553988,버스정류장
1592,혜화역1번출구,127.0017632862,37.5834729904,버스정류장
1593,감나무골공원,126.9699479367,37.6124059606,버스정류장
1594,한국사회과학도서관.이회영기념관,126.9641239308,37.5736670147,버스정류장
1595,동묘앞역8번출구,127.0142453819,37.5726943506,버스정류장
1596,종로2가.탑골공원,126.9875484137,37.5705713654,버스정류장
1597,경진빌라,126.9578303612,37.6020037175,버스정류장
1598,성대입구,126.9992849459,37.5833533096,버스정류장
1601,청와대,126.973768082,37.5829712951,버스정류장
1602,춘추문,126.9796554436,37.5831276121,버스정류장
1603,경복궁.국립민속박물관,126.9795911351,37.5794135204,버스정류장
1607,EN갤러리,126.9706087294,37.6134217965,버스정류장
1612,유림회관앞,126.9969805237,37.5858955968,버스정류장
1615,성균관대정문,126.9966204422,37.5849563466,버스정류장
1616,600주년기념관,126.9939426439,37.5873281035,버스정류장
1617,성균관대운동장,126.99237,37.587863,버스정류장
1618,학생회관,126.9936746328,37.5874203934,버스정류장
1667,종로문화체육센터,126.9645321424,37.5746935562,버스정류장
1682,동대문역2번출구,127.0117218002,37.5720494465,버스정류장
1683,종각역.YMCA,126.98508926,37.5703976388,버스정류장
1684,서교빌라,126.9571553655,37.601989057,버스정류장
1685,경복궁역,126.9724733176,37.5770722054,버스정류장
1697,성대입구,126.998853007,37.5832668015,버스정류장
1698,무애사,126.9718458037,37.6139004282,버스정류장
1699,단군성전앞,126.9653175119,37.5755600915,버스정류장
1702,동대문종합시장,127.004958038,37.5712161296,버스정류장
1714,상명초등학교,126.956715418,37.6009238115,버스정류장
1720,법련사,126.9796650539,37.5765879752,버스정류장
1721,광화문새마을금고,126.9710277184,37.5794930902,버스정류장
