idx,node_id,node_type_code,lon,lat,sigungu_code,sigungu_name,emd_code,emd_name
200,71647,0,126.9629975,37.56985033,1111000000,종로구,1111018000,교북동
201,168938,0,126.9953771,37.57071928,1111000000,종로구,1111016100,종로4가
202,168929,0,126.9976862,37.5734822,1111000000,종로구,1111015700,인의동
203,162082,0,127.0156722,37.5711886,1111000000,종로구,1111017400,창신동
204,168928,0,126.9977364,37.5734469,1111000000,종로구,1111015700,인의동
205,10422,0,127.0232112,37.57286912,1111000000,종로구,1111017500,숭인동
206,167277,0,126.987432,37.56832969,1111000000,종로구,1111013500,관철동
207,154032,0,127.0110489,37.57161823,1111000000,종로구,1111017400,창신동
208,154033,0,127.0109656,37.5718448,1111000000,종로구,1111017400,창신동
209,84423,0,126.9561729,37.57592912,1111000000,종로구,1141010900,현저동
210,84424,2,126.9565781,37.57551739,1111000000,종로구,1141010900,현저동
211,67062,0,126.9563296,37.57602947,1111000000,종로구,1111018700,무악동
212,85634,0,127.0153937,37.57307667,1111000000,종로구,1111017400,창신동
213,68279,0,126.9722623,37.58823325,1111000000,종로구,1111010100,청운동
214,72222,0,126.9693633,37.56870429,1111000000,종로구,1111012100,신문로2가
215,87312,0,127.0190037,37.57120766,1111000000,종로구,1111017500,숭인동
216,74006,0,126.9979235,37.57009865,1111000000,종로구,1111015800,예지동
217,87314,0,127.0188157,37.57110413,1111000000,종로구,1111017400,창신동
218,72193,0,126.9702973,37.56935406,1111000000,종로구,1111012100,신문로2가
219,72212,0,126.9687278,37.56818639,1111000000,종로구,1111017700,평동
220,73936,0,126.982883,37.57221029,1111000000,종로구,1111012900,견지동
221,153579,0,126.9757499,37.57550212,1111000000,종로구,1111011900,세종로
222,88637,0,126.9851517,37.58202328,1111000000,종로구,1111014600,가회동
223,88638,0,126.984992,37.58202797,1111000000,종로구,1111014600,가회동
224,89745,0,126.9812488,37.56909045,1111000000,종로구,1111012300,서린동
225,162081,0,127.0159108,37.57115882,1111000000,종로구,1111017400,창신동
226,89747,0,126.982573,37.56910446,1111000000,종로구,1111012300,서린동
227,89761,0,126.9989512,37.58988562,1111000000,종로구,1111016900,혜화동
228,77628,0,126.9759046,37.61019559,1111000000,종로구,1111018300,평창동
229,76864,0,127.0019478,37.57596664,1111000000,종로구,1111016600,연건동
230,76868,0,127.0018971,37.57625845,1111000000,종로구,1111016600,연건동
