idx,dtlstatenm,nm,type,addr,lat,lng
110,영업중,편안한요양병원,병원,"서울특별시 광진구 자양로 38, 편안한요양병원 (자양동)",37.5316187818149,127.086454798289
111,영업중,광진예치과병원,병원,서울특별시 광진구 천호대로 556 (능동),37.5567339275651,127.079702343554
112,영업중,에스(S)리더치과병원,병원,"서울특별시 광진구 능동로 103, 3.4층 (화양동)",,
113,영업중,동부참사랑요양병원,병원,서울특별시 광진구 동일로 154 (화양동),37.545763086384,127.066326507057
115,영업중,건국대학교병원,병원,서울특별시 광진구 능동로 120-1 (화양동),37.5412356316656,127.07205578747
116,영업중,혜민병원,병원,서울특별시 광진구 자양로 85 (자양동),37.5354377087993,127.083398686427
117,영업중,오석한방병원,병원,"서울특별시 광진구 자양로 116, 301~307호,310~312호 (구의동, 웰츠타워)",,
119,영업중,연세무척나은병원,병원,서울특별시 광진구 천호대로 568 (능동),37.5562629735009,127.080898776139
120,영업중,한양대학교병원,병원,서울특별시 성동구 왕십리로 222-1 (사근동),37.5585815432773,127.045715688792
121,영업중,바른본병원,병원,서울특별시 광진구 천호대로 630 (능동),37.5537986062705,127.087170869081
122,영업중,국립정신건강센터,병원,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",37.5650862337223,127.085776641765
128,영업중,더드림요양병원,병원,"서울특별시 동대문구 한빛로 12, 지하1층 ~ 4층 (신설동)",37.5767579715876,127.024888817848
130,영업중,엘치과병원,병원,"서울특별시 동대문구 전농로 102, 3층 (답십리동)",37.5739827977728,127.057855083646
136,영업중,서울탑병원,병원,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)",37.5814263021675,127.036023592372
137,영업중,의료법인마리아의료재단마리아병원,병원,서울특별시 동대문구 천호대로 20 (신설동),37.5743400943334,127.025164225873
138,영업중,하늘병원,병원,"서울특별시 동대문구 천호대로 317, 하늘병원 (답십리동)",37.565178527398,127.055634655029
139,영업중,서울특별시 동부병원,병원,서울특별시 동대문구 무학로 124 (용두동),37.5753539913466,127.031512678311
140,영업중,다일천사병원,병원,"서울특별시 동대문구 서울시립대로 57, 천사병원 B1,1,2,3,6층 (전농동)",37.5766741362136,127.047618863634
141,영업중,코리아병원,병원,서울특별시 동대문구 장한로 143 (장안동),37.5731976621686,127.071518871889
145,영업중,햇살요양병원,병원,"서울특별시 동대문구 장한로 152, 지하1~2층, 지상3 ~10층 (장안동)",37.5740057214541,127.072181420118
146,영업중,시카고치과병원,병원,서울특별시 동대문구 천호대로 2 (신설동),37.5750052699082,127.023557307449
147,영업중,참튼튼병원,병원,서울특별시 동대문구 답십리로 261 (장안동),37.572732776108,127.069359147079
148,영업중,날개병원,병원,서울특별시 동대문구 무학로 193-1 (용두동),37.5816271425374,127.029498659534
149,영업중,린여성병원,병원,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",37.5722812717492,127.069844464433
150,영업중,효림요양병원,병원,서울특별시 동대문구 천호대로 259-1 (답십리동),37.5686323592214,127.050944682694
151,영업중,영동병원,병원,서울특별시 동대문구 한천로 4 (장안동),37.5632449294324,127.058553733243
152,영업중,서울나은병원,병원,서울특별시 동대문구 왕산로 137 (제기동),37.5785692943084,127.038731404679
153,영업중,경희대학교한방병원,병원,서울특별시 동대문구 경희대로 23 (회기동),37.5937762050989,127.050741696591
