idx,dtlstatenm,addr,nm,type,lat,lng
60,영업중,서울특별시 강동구 올림픽로91길 33 (천호동),화랑 태권도장,학원,37.5482168264933,127.124733032379
61,영업중,서울특별시 강동구 양재대로 1526 (길동),예덕검도관,학원,37.5418383936288,127.141811179679
62,영업중,"서울특별시 강동구 구천면로 446, 2층 (명일동)",경희이기성태권도,학원,37.5492757057031,127.147746684819
63,영업중,"서울특별시 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)",용인대 CTA 태권도장,학원,37.5576864625383,127.148577708994
64,영업중,서울특별시 강동구 양재대로91길 11 (성내동),문성길복싱클럽,학원,37.5278007732681,127.135238247335
65,영업중,서울특별시 강동구 천중로52길 50 (길동),(직)용인대광동태권도,학원,37.538660980043,127.143410843742
66,영업중,서울특별시 강동구 동남로82길 111 (고덕동),고덕 K태권스쿨,학원,37.5604377882041,127.163150446447
67,영업중,"서울특별시 강동구 성안로7길 37, 3층 (성내동)",고려대 솔빛 태권도,학원,37.5282538857725,127.128459845497
68,영업중,"서울특별시 강동구 명일로 260 (길동, 신동아아파트)",용인대경일본관,학원,37.5411339937801,127.147402025244
69,영업중,"서울특별시 강동구 명일로 104, 신성둔촌미소지움 3층 (둔촌동)",용인대석사백인태권도장,학원,37.5283137931763,127.142525683375
70,영업중,"서울특별시 강동구 양재대로 1376 (둔촌동, 광안빌딩)",한남 권투,학원,37.5288399792125,127.137121186952
71,영업중,서울특별시 강동구 암사길 60 (암사동),용인대명일태권도,학원,37.5518642392777,127.136079096581
72,영업중,"서울특별시 강동구 아리수로 427, 중앙프라자 3층 303, 304호 (강일동)",MTA 마스터 태권도,학원,37.5649623335076,127.174603355856
73,영업중,"서울특별시 강동구 아리수로93길 9 (강일동, 골드프라자)",용인대스카이태권도,학원,37.5652410196081,127.174353860744
74,영업중,서울특별시 강동구 구천면로 258 (천호동),경희대청무체육관,학원,37.5432246185617,127.131905179298
75,영업중,서울특별시 강동구 명일로 210 (길동),승리 태권도,학원,37.5372967238805,127.14609997028
76,영업중,"서울특별시 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강명 태권도장,학원,37.5513683747695,127.174785524346
77,영업중,서울특별시 강동구 성안로 107 (성내동),김정범파워복싱클럽,학원,37.5329363261917,127.132991749457
78,영업중,서울특별시 강동구 천호옛길 16 (성내동),강동검도관,학원,37.5309657308553,127.121553453005
79,영업중,서울특별시 강동구 양재대로143길 5 (명일동),용마쿵후(우슈)체육관,학원,37.5514025537621,127.143622319237
80,영업중,"서울특별시 강동구 암사길 19 (암사동, 선진빌딩)",엄지태권도체육관,학원,37.5515594539354,127.13144660077
81,영업중,서울특별시 강동구 양재대로 1482 (길동),복싱브로스 길동점,학원,37.53792639426,127.140336709704
82,영업중,서울특별시 강동구 강동대로53길 73 (성내동),팡팡태권도장,학원,37.5260759627566,127.13247671182
83,영업중,"서울특별시 강동구 상암로3길 86 (암사동, 영복빌딩)",검도도장 성심관,학원,37.5543206891096,127.12813292023
84,영업중,서울특별시 강동구 풍성로 112 (성내동),명성K태권스쿨(태권도장),학원,37.5320578349528,127.124493191378
85,영업중,서울특별시 강동구 양재대로141길 9 (명일동),용인대 SM 복싱클럽 명일점,학원,37.5510352085734,127.143258462743
86,영업중,"서울특별시 강동구 상암로 197 (명일동, 현대자동차 공업사)",권창재 복싱클럽,학원,37.5466664249676,127.144462158408
87,영업중,서울특별시 강동구 고덕로 162 (명일동),한체대석사명성태권도,학원,37.5545278906067,127.143360778583
88,영업중,서울특별시 강동구 천중로17길 37 (천호동),원 탑 태권도,학원,37.5465306729768,127.130834288965
89,영업중,"서울특별시 강동구 고덕로98길 99, 강일노블레스 5층 501~504호 (상일동)",미르나래 MBA 태권도장,학원,37.5540389678121,127.179800600485
90,영업중,"서울특별시 강동구 올림픽로 770, 3층 (천호동)",럭키 권투 체육관,학원,37.5497854908523,127.127658691274
91,영업중,"서울특별시 강동구 상암로 11, 상가동 2층 203호 (암사동, 선사현대아파트)",경희대 석사 태권도,학원,37.5534474873056,127.125660013035
92,영업중,"서울특별시 강동구 고덕로 133, 4층 (암사동, 강동롯데캐슬퍼스트아파트)",경희대석사태권도&강동경희점핑클럽,학원,37.5552528493133,127.140347239304
93,영업중,서울특별시 강동구 양재대로116길 29 (길동),길동경희태권도(승리태권도),학원,37.5384416729732,127.142147131214
94,영업중,서울특별시 강동구 상암로 지하 24 (암사동),엑스오짐,학원,,
95,영업중,"서울특별시 강동구 성안로25길 6 (천호동, 삼성아파트)",삼성태권도장,학원,37.5383026250169,127.134790705052
96,영업중,"서울특별시 강동구 양재대로91길 50 (성내동, 동아3차아파트)",으뜸태권도,학원,37.5285511805999,127.133368840923
97,영업중,"서울특별시 강동구 양재대로125길 35 (천호동, 대영빌딩)",경희대화랑태권도,학원,37.5444999749255,127.140352539002
98,영업중,"서울특별시 강동구 구천면로 267 (천호동, 신우빌딩)",검도교실경당,학원,37.544129442338,127.132191021772
99,영업중,"서울특별시 강동구 올림픽로 683 (천호동, 명화빌딩)",탑권투체육관,학원,37.5424422933213,127.124508080133
100,영업중,"서울특별시 강동구 천호대로 1021 (천호동, 덕성빌딩)",강동천호복싱다이어트,학원,37.5382493358878,127.125761342604
101,영업중,"서울특별시 강동구 천중로15가길 1 (천호동, 선문빌딩)",강동 신화 태권도장,학원,37.5456709097702,127.128647922001
102,영업중,"서울특별시 강동구 고덕로38길 210 (명일동, 삼익그린맨션)",자이언트스포츠클럽,학원,,
103,영업중,"서울특별시 강동구 성내로15길 12, 201호 (성내동)",점핑클럽,학원,37.5280051030954,127.128640316636
104,영업중,"서울특별시 강동구 양재대로 1564, 4층 (명일동)",YM복싱클럽,학원,37.5450986911405,127.143053262862
105,영업중,"서울특별시 강동구 상일로12길 99, 5층 503, 504호 (상일동)",멘토태권 키즈짐,학원,37.5568493567628,127.172923689194
106,영업중,"서울특별시 강동구 명일로 375 (명일동, 삼익그린맨션)",명품 태권도,학원,37.5520142970108,127.149457646714
107,영업중,"서울특별시 강동구 천호대로199길 10 (길동, GS길동자이아파트)",백호태권도장,학원,37.5371034846719,127.148033137289
108,영업중,"서울특별시 강동구 풍성로 128 (성내동, 성내동삼성아파트)",고려태권아카데미,학원,37.5299439507419,127.125981133302
109,영업중,서울특별시 강동구 구천면로42길 65 (천호동),태사모 태권도 아카데미,학원,37.5447028910131,127.13688918278
110,영업중,"서울특별시 강동구 고덕로 130 (암사동, 프라이어팰리스)",올림픽태권도,학원,37.5542066727371,127.140901062073
111,영업중,"서울특별시 강동구 고덕로 40, 우전빌딩 5층 (암사동)",암사경원대선사태권도,학원,37.554585000832,127.129655988594
112,영업중,"서울특별시 강동구 올림픽로 801 (암사동, 흙빌딩)",하랑태권도,학원,37.5526626328776,127.128170596073
113,영업중,서울특별시 강동구 풍성로 162 (성내동),동성태비태권도,학원,37.5305040538801,127.129853009462
114,영업중,서울특별시 강동구 동남로75길 13-7 (명일동),상무S복싱클럽,학원,37.5539246973821,127.155514976018
115,영업중,"서울특별시 강동구 고덕로83길 28 (고덕동, 백두쇼핑센타)",고일태권도,학원,37.5582627414073,127.169009316732
116,영업중,"서울특별시 강동구 성내로3길 16 (성내동, 2층(202호))",예건태권스쿨,학원,37.5307029596141,127.122724096213
117,영업중,"서울특별시 강동구 성안로 107, 3층 (성내동)",용인대 강동유도관,학원,37.5329363261917,127.132991749457
118,영업중,서울특별시 강동구 천중로 227 (길동),한미태권도,학원,37.5408693290934,127.145692807572
119,영업중,"서울특별시 강동구 동남로81길 82 (고덕동, 2층)",실전경찰태권도,학원,37.5590565253971,127.152528555758
120,영업중,"서울특별시 강동구 아리수로93나길 38, 아이메디컬 5층 (강일동)",국가대표 부부 강빛태권도장,학원,37.5719495468616,127.173931648055
121,영업중,"서울특별시 강동구 명일로 248, 3층 (길동)",국호 무술관,학원,37.5408000456068,127.147287990397
122,영업중,"서울특별시 강동구 고덕로 102, 2층 (암사동)",강동구 팀파이터(합기도/종합격투기),학원,37.5545429646675,127.136573096197
123,영업중,"서울특별시 강동구 고덕로38길 26, 2층 (명일동)",드림 합기도,학원,37.5534502946153,127.142619599489
124,영업중,"서울특별시 강동구 아리수로93나길 26, 성산타워 5층 (강일동)",한국체대 블랙벨트 태권도장,학원,37.5717706860351,127.173328226781
125,영업중,"서울특별시 강동구 구천면로 666, 01층 (상일동)",국가대표 파워 점핑 줄넘기 전문클럽 경희대 홍 태권도장,학원,37.5507918201533,127.172029147198
126,영업중,"서울특별시 강동구 아리수로93길 27, 강일타워 5층 (강일동)",해성합기도,학원,37.5656225735773,127.17381574584
127,영업중,"서울특별시 강동구 양재대로 1450, 4층 (길동)",용인대SM복싱클럽 길동점,학원,37.5352870340168,127.139475951525
128,영업중,"서울특별시 강동구 고덕로83길 132, 2층 (고덕동)",국가대표 김재봉 주짓수 앤 태권도장,학원,37.5613848620006,127.16756288307
129,영업중,"서울특별시 강동구 양재대로 1360, 2층 2032~2034호 (둔촌동)",올림픽파크포레온 제일태권도,학원,37.5274758605763,127.137046059861
130,영업중,"서울특별시 강동구 풍성로54길 23, 명성빌딩 지하1층 (성내동)",김형기 유도관 강동점,학원,37.5284208223399,127.133672935079
131,영업중,"서울특별시 강동구 양재대로 1360, 3층 3068호 (둔촌동)",CTA퍼스트 태권도장,학원,37.5274758605763,127.137046059861
132,영업중,"서울특별시 강서구 허준로 121, 304호 (가양동, 대림경동아파트 상가동)",한국체대탑산태권도,학원,37.5670912310648,126.854748176977
133,영업중,"서울특별시 도봉구 마들로 624, 대상타운현대아파트 309호 (방학동)",경희대 키움 태권도,학원,37.6657841569947,127.046680603721
134,영업중,"서울특별시 강서구 양천로69길 19, 세우빌딩 3층 (염창동)",한국파워점핑줄넘기 염창점,학원,37.5534274053442,126.870760219916
135,영업중,"서울특별시 성북구 종암로5길 21, 2층 (종암동)",영복싱클럽,학원,37.5942512855844,127.034571231128
136,영업중,"서울특별시 구로구 부일로11길 101, 2층 (궁동)",점프스타 줄넘기클럽 / 태권로 킥,학원,37.497450127949,126.829664954684
137,영업중,"서울특별시 관악구 남부순환로 1587, 4층 (신림동)",국제체육관 신림점,학원,37.4842774166635,126.926939295944
138,영업중,서울특별시 동대문구 사가정로2길 56 (답십리동),베스트태권도장,학원,37.5697812657745,127.052684593683
139,영업중,"서울특별시 구로구 남부순환로105길 232, 최치현빌딩 2층 (가리봉동)",경희대 SJC 태권도장,학원,37.4851569851202,126.882572339007
140,영업중,"서울특별시 서대문구 수색로6길 45, 상가동 2층 (남가좌동, 래미안2차)",국가대표 부부 현무태권도장,학원,37.5723264093,126.913424021483
141,영업중,"서울특별시 강동구 동남로81길 8, 고덕크리닉 지하1층 (고덕동)",파이널 유도 멀티짐 강동점,학원,37.5606867530587,127.156343594712
142,영업중,"서울특별시 은평구 수색로 200, 상가동 2층 (증산동, DMC센트럴자이)",증산용인대태권도장,학원,37.5794195375926,126.900673276716
143,영업중,"서울특별시 은평구 은평로 34 (신사동, 신창빌딩)",YM태권도,학원,37.5980444868804,126.91178557508
144,영업중,"서울특별시 은평구 통일로 716, 4층 (불광동)",불광복싱클럽,학원,37.6098322938982,126.930796458124
145,영업중,"서울특별시 은평구 백련산로4길 16, 은평청소년수련관 (응암동)",은평청소년수련관,학원,37.5942157413413,126.924544209302
146,영업중,"서울특별시 강서구 강서로31길 52, 2층 2호 (화곡동)",명품태권도 스타줄넘기클럽,학원,37.5393278148374,126.83878028098
147,영업중,"서울특별시 은평구 진관2로 57-37, 243동 상가층 B호 (진관동, 은평뉴타운우물골)",연호태권도장,학원,37.6351965318796,126.926054239126
