idx,nm,addr,type,lat,lng
129,서울동작초등학교,서울특별시 동작구 동작대로29길 214,학교,37.4940605364226,126.976489285999
130,서울대림초등학교,서울특별시 동작구 대방동1길 22,학교,37.5006196717046,126.924878133652
131,서울당곡초등학교,서울특별시 관악구 보라매로2길 23,학교,37.4901681154487,126.930369788237
132,서울노량진초등학교,서울특별시 동작구 장승배기로 160,학교,37.5117195690698,126.940827465638
133,서울남성초등학교,서울특별시 동작구 사당로23길 57-14,학교,37.4846330175369,126.975577985193
134,서울남사초등학교,서울특별시 동작구 동작대로13길 22,학교,37.48194132287,126.978234357795
135,서울남부초등학교,서울특별시 관악구 남부순환로163길 14,학교,37.4851194359099,126.922183775699
136,서울난향초등학교,서울특별시 관악구 난향길 9,학교,37.4628218910704,126.918336846046
137,서울난우초등학교,서울특별시 관악구 난우길 40,학교,37.4771205875183,126.917458792183
138,서울난곡초등학교,서울특별시 관악구 난곡로35길 102,학교,37.4691282036291,126.916341558815
139,서울구암초등학교,서울특별시 관악구 구암길 1,학교,37.4892174749954,126.946271723126
140,서울관악초등학교,서울 관악구 청룡4길 49,학교,37.4810297131995,126.942570541831
141,서울강남초등학교,서울특별시 동작구 강남초등길 15,학교,37.5062047182589,126.953567101813
142,잠실여자중학교,서울특별시 송파구 송파대로38길 8,학교,37.5017941334924,127.114241325581
143,상일중학교,서울특별시 강동구 천호대로219길 61,학교,37.5485874781342,127.170823536325
144,위례솔중학교,서울특별시 송파구 위례북로2길 10,학교,37.4872591125777,127.150354996473
145,서울위례솔초등학교,서울특별시 송파구 위례북로2길 12,학교,37.486734037842,127.150753871028
146,강빛중학교,서울특별시 강동구 아리수로93다길 1,학교,37.5743433210453,127.170774922577
147,서울강빛초등학교,서울특별시 강동구 아리수로93다길 1,학교,37.5743433210453,127.170774922577
148,서울고현초등학교,서울특별시 강동구 상일로11길 110,학교,37.5538039438067,127.166050130468
149,해누리중학교,서울특별시 송파구 송파대로37길 95,학교,37.4984115921213,127.102124196858
150,서울해누리초등학교,서울특별시 송파구 송파대로37길 95,학교,37.4984115921213,127.102124196858
151,서울강솔초등학교,서울특별시 강동구 고덕로97길 80,학교,37.5618696246217,127.180267055739
152,서울위례별초등학교,서울특별시 송파구 위례광장로 243,학교,37.4790497618126,127.145018831355
153,한영중학교,서울특별시 강동구 동남로 832,학교,37.5490844724681,127.156927612469
154,한산중학교,서울특별시 강동구 풍성로 251,학교,37.5289027355132,127.140303398101
155,풍성중학교,서울특별시 송파구 강동대로2길 27,학교,37.5252777887983,127.113130689958
156,풍납중학교,서울특별시 송파구 올림픽로43길 20,학교,37.5253505135011,127.115628322635
157,천호중학교,서울특별시 강동구 상암로 153,학교,37.5465192580007,127.139697961268
158,천일중학교,서울특별시 강동구 천중로 57,학교,37.5458447527249,127.128196604109
159,정신여자중학교,서울특별시 송파구 올림픽로4길 16,학교,37.5094538398143,127.073847329188
160,잠실중학교,서울특별시 송파구 올림픽로35길 130,학교,37.5173471687295,127.09972830098
161,잠신중학교,서울특별시 송파구 잠실로 12,학교,37.5160817484345,127.088243186371
162,오주중학교,서울특별시 송파구 동남로 281,학교,37.5014842537875,127.136506477956
163,오륜중학교,서울특별시 송파구 양재대로 1242,학교,37.5162947747499,127.13852222328
164,오금중학교,서울특별시 송파구 오금로35길 20,학교,37.5052111047982,127.129112056324
165,영파여자중학교,서울특별시 송파구 올림픽로 565,학교,37.5327371486645,127.119740221132
166,아주중학교,서울특별시 송파구 올림픽로4길 69,학교,37.5052044945698,127.076298941322
167,신천중학교,서울특별시 송파구 백제고분로 11,학교,37.5162500127349,127.079283389854
168,신암중학교,서울특별시 강동구 고덕로 65,학교,37.5563616900258,127.133604335628
169,신명중학교,서울특별시 강동구 명일로24길 25,학교,37.5418144867925,127.149291882662
170,송파중학교,서울특별시 송파구 동남로 203,학교,37.4959246234885,127.129932432189
171,송례중학교,서울특별시 송파구 위례순환로 429,학교,37.4778330100686,127.13973449828
172,세륜중학교,서울특별시 송파구 양재대로72길 41,학교,37.5089331446047,127.131246387027
173,성덕여자중학교,서울특별시 강동구 구천면로 396,학교,37.5498545397762,127.141541303447
174,성내중학교,서울특별시 강동구 성안로7길 36,학교,37.5290619074653,127.129117291814
175,석촌중학교,서울특별시 송파구 송이로15길 13,학교,37.5014549929626,127.121117352937
176,서울체육중학교,서울특별시 송파구 강동대로 232,학교,37.5223303821085,127.129822552593
177,보인중학교,서울특별시 송파구 오금로49길 18,학교,37.4975692004431,127.139517839227
178,보성중학교,서울특별시 송파구 양재대로 1278,학교,37.5200898870034,127.135729296295
179,배재중학교,서울특별시 강동구 고덕로 227,학교,37.5550559824557,127.150160525237
180,배명중학교,서울특별시 송파구 삼학사로 11,학교,37.4976894981876,127.095811765574
181,방이중학교,서울특별시 송파구 오금로11길 64,학교,37.5149508047144,127.113373673739
182,방산중학교,서울특별시 송파구 오금로29길 31,학교,37.5093439082296,127.121567809411
183,문현중학교,서울특별시 송파구 충민로 99,학교,37.4805587972062,127.128244061598
184,문정중학교,서울특별시 송파구 문정로 73,학교,37.4883919978179,127.130286303121
185,명일중학교,서울특별시 강동구 양재대로156길 57,학교,37.5576563502383,127.14729852725
186,둔촌중학교,서울특별시 강동구 진황도로61길 25-30,학교,37.5308360856293,127.146331741485
187,동신중학교,서울특별시 강동구 진황도로 72,학교,37.5367695166843,127.134366593349
188,동북중학교,서울특별시 강동구 강동대로 305,학교,37.5202406144077,127.139450654266
189,고덕중학교,서울특별시 강동구 동남로82길 94,학교,37.5603584289834,127.161761886139
190,거원중학교,서울특별시 송파구 양산로2길 30,학교,37.4876964764281,127.146542554504
191,강일중학교,서울특별시 강동구 고덕로27길 12,학교,37.5553453453104,127.138008577115
192,강명중학교,서울특별시 강동구 상일로12길 56,학교,37.5556127825867,127.174608361426
193,강동중학교,서울특별시 강동구 풍산로 237,학교,37.5696502492074,127.177836046342
194,가원중학교,서울특별시 송파구 중대로10길 40-18,학교,37.4909683312292,127.122978948911
195,가락중학교,서울특별시 송파구 송이로 45,학교,37.5023397085349,127.11897125744
196,서울한산초등학교,서울특별시 강동구 풍성로 261,학교,37.5286945837724,127.14107694998
