name,type,detail_type,stable,aprove_day,address,road_address,sitearea,lat,lng
스타벅스정부서울청사R,휴게음식점,커피숍,01,2018-01-11,"서울특별시 종로구 새문안로5가길 28, 광화문플래티넘 1층 101호 (적선동)",서울특별시 종로구 새문안로5가길 28,399.60,37.574460196686,126.973597076089
예담 겔러리카페,휴게음식점,커피숍,01,2017-09-28,"서울특별시 종로구 우정국로 43, 1층 (견지동)",서울특별시 종로구 우정국로 43,,37.5728476680338,126.982759914485
세븐일레븐 종로연지점,휴게음식점,커피숍,01,2017-10-11,"서울특별시 종로구 창경궁로16길 6-1, 1층 (연지동)",서울특별시 종로구 창경궁로16길 6-1,,37.5739940762378,126.998109083481
비포블루밍(BEFORE BLOOMING),휴게음식점,커피숍,01,2024-12-13,"서울특별시 마포구 양화로23길 28, 3층 (동교동)",서울특별시 마포구 양화로23길 28,89.60,37.559608616725,126.925064436597
메리메이트(MerryMate),휴게음식점,커피숍,01,2005-12-29,"서울특별시 종로구 동숭길 84-1 (동숭동,지상2층)",서울특별시 종로구 동숭길 84-1,,37.581989166956,127.004253205685
곰발 커피,휴게음식점,커피숍,01,2016-08-03,"서울특별시 종로구 경희궁2길 9-1, 지하1층 (내수동)",서울특별시 종로구 경희궁2길 9-1,,37.5729534216498,126.971111852728
FOWS (파우스),휴게음식점,커피숍,01,2016-08-05,"서울특별시 종로구 삼청로 86-3, 3층 (삼청동)",서울특별시 종로구 삼청로 86-3,44.01,37.5832100796833,126.982071100346
스타벅스주얼리시티점,휴게음식점,커피숍,01,2006-11-23,,,144.60,,
소마 (SOMA),휴게음식점,커피숍,01,2008-11-18,"서울특별시 종로구 창의문로 155, 1층 (부암동)",서울특별시 종로구 창의문로 155,,37.5936728088526,126.963500142709
카페 네스카페,휴게음식점,다방,01,2005-02-02,서울특별시 종로구 돈화문로 26 (묘동),서울특별시 종로구 돈화문로 26,,37.5710194900321,126.992526739499
아꼬떼,휴게음식점,다방,01,2001-05-30,서울특별시 종로구 계동길 5 (계동),서울특별시 종로구 계동길 5,,37.5773990614114,126.986348419217
(주)후니드 서울치대병원 카페혜화점,휴게음식점,커피숍,01,2007-12-26,"서울특별시 종로구 대학로 101 (연건동,2층)",서울특별시 종로구 대학로 101,23.07,37.5804523853297,126.997196437908
만화카페 콩툰(대학로),휴게음식점,커피숍,01,2017-06-22,"서울특별시 종로구 대학로 122, 지하1층 (동숭동)",서울특별시 종로구 대학로 122,15.00,37.582188882319,127.002249558739
(주)커피빈코리아종로관철동점,휴게음식점,다방,01,2002-07-23,"서울특별시 종로구 청계천로 83 (관철동,지하1층,지상1,2,3층)",서울특별시 종로구 청계천로 83,394.75,37.5684788943066,126.98672924417
그린폴(Greenfall),휴게음식점,커피숍,01,2017-05-29,"서울특별시 종로구 대학로3길 10, 1층 (효제동)",서울특별시 종로구 대학로3길 10,132.23,37.5740506621925,127.001659420871
