stdr_yyqu_cd,adstrd_cd,adstrd_cd_nm,tot_flpop_co,ml_flpop_co,fml_flpop_co,agrde_10_flpop_co,agrde_20_flpop_co,agrde_30_flpop_co,agrde_40_flpop_co,agrde_50_flpop_co,agrde_60_above_flpop_co,tmzon_00_06_flpop_co,tmzon_06_11_flpop_co,tmzon_11_14_flpop_co,tmzon_14_17_flpop_co,tmzon_17_21_flpop_co,tmzon_21_24_flpop_co,mon_flpop_co,tues_flpop_co,wed_flpop_co,thur_flpop_co,fri_flpop_co,sat_flpop_co,sun_flpop_co
20214,11380650,수색동,1491454.0,753992.0,737462.0,178316.0,202306.0,261679.0,241235.0,250340.0,357578.0,372454.0,330009.0,176118.0,176528.0,245797.0,190548.0,214953.0,216987.0,216810.0,215856.0,214029.0,206873.0,205946.0
20214,11380690,진관동,7693350.0,3494742.0,4198608.0,2088452.0,721842.0,867440.0,1357259.0,1036292.0,1622066.0,2213264.0,1633869.0,832132.0,803375.0,1175868.0,1034843.0,1099898.0,1087245.0,1087881.0,1085296.0,1082138.0,1112715.0,1138176.0
20214,11410520,천연동,4141589.0,1932248.0,2209340.0,679200.0,488298.0,612244.0,732787.0,656051.0,973011.0,1091168.0,852644.0,493627.0,472624.0,684614.0,546910.0,597457.0,605971.0,602603.0,601118.0,597566.0,569408.0,567463.0
20214,11410555,북아현동,16669881.0,8055462.0,8614418.0,2145361.0,2493011.0,3533730.0,3416359.0,2463194.0,2618227.0,4086956.0,3779848.0,2301433.0,2216083.0,2408630.0,1876933.0,2480926.0,2600590.0,2603726.0,2592274.0,2534063.0,1951808.0,1906494.0
20214,11410565,충현동,10155393.0,4764002.0,5391392.0,1262587.0,1628582.0,1960645.0,1919273.0,1559516.0,1824790.0,2225089.0,2236566.0,1467008.0,1459269.0,1653277.0,1114184.0,1490674.0,1553975.0,1551120.0,1542213.0,1495440.0,1258954.0,1263017.0
20214,11410585,신촌동,9699991.0,4181716.0,5518274.0,917088.0,4209027.0,1666170.0,1004785.0,868983.0,1033938.0,1929613.0,1846534.0,1382962.0,1449310.0,1956690.0,1134882.0,1349667.0,1377792.0,1386810.0,1391474.0,1410971.0,1438226.0,1345051.0
20214,11410615,연희동,8545011.0,3908176.0,4636833.0,1048498.0,1819816.0,1504450.0,1350899.0,1164975.0,1656373.0,2282005.0,1817064.0,1014678.0,994426.0,1358162.0,1078677.0,1218738.0,1211979.0,1211367.0,1210165.0,1207228.0,1237957.0,1247574.0
20214,11410620,홍제1동,5914692.0,2628118.0,3286574.0,982512.0,746148.0,752990.0,874506.0,947345.0,1611193.0,1582325.0,1221374.0,673263.0,671935.0,973922.0,791876.0,849175.0,839147.0,841579.0,839004.0,837987.0,855786.0,852013.0
20214,11410640,홍제3동,4112084.0,1913581.0,2198504.0,664996.0,475782.0,493217.0,585952.0,689095.0,1203043.0,1038912.0,829165.0,481584.0,496303.0,710678.0,555442.0,588129.0,584269.0,586262.0,586929.0,590521.0,590434.0,585539.0
20214,11410655,홍제2동,2663244.0,1196929.0,1466314.0,416523.0,315981.0,378567.0,407018.0,432239.0,712916.0,764206.0,513275.0,272214.0,289089.0,450538.0,373923.0,380349.0,372153.0,372783.0,374124.0,373269.0,391822.0,398745.0
20214,11410660,홍은1동,3767646.0,1697029.0,2070617.0,596937.0,434809.0,489163.0,537235.0,629881.0,1079622.0,1067701.0,770651.0,402139.0,405266.0,609877.0,512010.0,529735.0,517773.0,518268.0,518941.0,520210.0,568708.0,594012.0
20214,11410685,홍은2동,4573050.0,2076570.0,2496480.0,753753.0,755526.0,625384.0,679203.0,681297.0,1077888.0,1218690.0,987347.0,533226.0,519146.0,721912.0,592729.0,653652.0,648518.0,645255.0,647271.0,641274.0,657307.0,679775.0
20214,11410690,남가좌1동,1312524.0,600933.0,711592.0,301118.0,135598.0,200804.0,234553.0,173038.0,267415.0,330228.0,270483.0,156750.0,163144.0,226865.0,165053.0,186891.0,184514.0,185340.0,184078.0,185499.0,194211.0,191993.0
20214,11410700,남가좌2동,6440320.0,2929975.0,3510346.0,989753.0,1263304.0,966009.0,998327.0,921135.0,1301795.0,1715983.0,1301060.0,737068.0,739499.0,1083809.0,862902.0,922005.0,914477.0,912393.0,908292.0,908133.0,930593.0,944428.0
20214,11410710,북가좌1동,2964355.0,1341382.0,1622972.0,640294.0,298433.0,389325.0,523824.0,433074.0,679404.0,820411.0,600497.0,319164.0,321229.0,491305.0,411749.0,422186.0,416286.0,415493.0,415136.0,416287.0,435463.0,443503.0
20214,11410720,북가좌2동,12174524.0,5485121.0,6689403.0,1928700.0,1714824.0,1859141.0,1910500.0,1785417.0,2975942.0,3416590.0,2497064.0,1314108.0,1305198.0,1975168.0,1666398.0,1732449.0,1712470.0,1695491.0,1707512.0,1708522.0,1785798.0,1832281.0
20214,11440555,아현동,6118467.0,2751799.0,3366668.0,1102686.0,792502.0,1224622.0,1086985.0,852701.0,1058970.0,1406456.0,1332797.0,828845.0,822698.0,1012048.0,715626.0,899267.0,926203.0,921251.0,915202.0,899600.0,784810.0,772136.0
20214,11440565,공덕동,14029935.0,6493546.0,7536388.0,1878764.0,2089340.0,2725306.0,2412473.0,2196768.0,2727283.0,3745441.0,3012320.0,1709324.0,1648024.0,2176406.0,1738421.0,2027726.0,2041144.0,2045092.0,2035303.0,2016525.0,1921089.0,1943055.0
20214,11440585,도화동,3833940.0,1757443.0,2076496.0,530687.0,505325.0,745775.0,661072.0,575264.0,815816.0,886465.0,768673.0,495894.0,506574.0,702938.0,473396.0,543417.0,546856.0,548686.0,545984.0,551416.0,553379.0,544204.0
20214,11440590,용강동,7311156.0,3451576.0,3859580.0,1368681.0,778319.0,1264448.0,1438505.0,1026825.0,1434378.0,1809810.0,1483934.0,905176.0,913841.0,1283025.0,915369.0,1048494.0,1061868.0,1063126.0,1067485.0,1056270.0,1013778.0,1000134.0
20214,11440600,대흥동,7350187.0,3379596.0,3970591.0,936286.0,2066920.0,1215967.0,1098814.0,885506.0,1146694.0,1773134.0,1519768.0,931812.0,936022.0,1265272.0,924181.0,1052368.0,1058953.0,1059511.0,1057546.0,1052574.0,1046716.0,1022518.0
20214,11440610,염리동,3371081.0,1499203.0,1871878.0,648939.0,499651.0,598618.0,658165.0,419150.0,546556.0,912601.0,720854.0,401711.0,383767.0,519390.0,432759.0,486224.0,489944.0,487942.0,487790.0,483600.0,466911.0,468669.0
20214,11440630,신수동,5419962.0,2595317.0,2824645.0,900267.0,869672.0,899972.0,945059.0,757139.0,1047852.0,1449385.0,1139555.0,636093.0,625362.0,876387.0,693179.0,775291.0,770263.0,769945.0,767652.0,766177.0,777599.0,793034.0
20214,11440655,서강동,6052931.0,2817166.0,3235766.0,834715.0,1468597.0,1140993.0,925994.0,696748.0,985884.0,1591216.0,1238473.0,715507.0,727407.0,1011448.0,768878.0,855884.0,860775.0,861728.0,862227.0,866906.0,878077.0,867332.0
