nm,type,apv_date,addr,floor,sitearea,lat,lng,flpop_type,trdar_cd,adstrd_cd
커피하이,커피숍,2011-07-25,서울 동대문구 경희대로1가길 34,1,88.74,37.5929974263989,127.051896342188,TR,3120064,11230710
엠 커피 카페,커피숍,2011-07-26,서울 구로구 구로중앙로 58,2,30.00,37.4948460523508,126.889479924649,TR,3120127,11530550
컵앤컵,커피숍,2010-11-29,서울 마포구 월드컵북로 396,-1,28.68,37.5794283422818,126.889782954548,TR,3120098,11440740
히읗,커피숍,2011-08-16,서울 관악구 낙성대역8길 47,,26.40,37.4740379082461,126.96123340434,AL,3110900,11620585
커피바이(coffeebuy),커피숍,2011-08-24,서울 송파구 올림픽로 145,-1,34.89,37.5119804600106,127.087041904838,TR,3120225,11710670
아트센터나비미술관(카페나비),커피숍,2011-08-25,서울 종로구 종로 26,4,,37.5696912777696,126.980303746598,TR,3120006,11110615
커피가 있는풍경,커피숍,2011-08-26,서울 송파구 오금로27길 10,1,66.00,37.507256504821,127.120734832149,TR,3111020,11710561
카페드람브르,커피숍,2011-08-29,서울 종로구 종로 80,-1,,37.5699472787284,126.986222095118,TR,3120006,11110615
커피야 구의점,커피숍,2010-07-02,서울 광진구 자양로28길 82,1,,37.5414981923727,127.088718726144,TR,3110170,11215850
커피아마토르,커피숍,2010-11-02,서울 강서구 강서로 462,1,60.08,37.5666120273171,126.84140274432,TR,3110657,11500535
Berry.s Cookie(베리스쿠키),커피숍,2011-09-06,서울 서초구 강남대로 283,1,30.61,37.4884670563682,127.031716760946,TR,3120192,11650520
모나코,커피숍,2005-02-01,서울 중구 명동길 38,7,92.56,37.5636150340836,126.984408102101,TR,3120028,11140550
14번지(14St.),커피숍,2011-09-22,서울 영등포구 영등포로36길 13,1,47.85,37.5188159086795,126.903875945195,TR,3120145,11560535
블레스(Bless),커피숍,2011-09-23,서울 동대문구 장한로 199,3,53.66,37.5782300275956,127.07189534616,TR,3110228,11230660
야고비네,커피숍,2011-09-27,서울 성북구 솔샘로17길 8,1,74.75,37.6127662460054,127.005689964184,AL,3110290,11290640
57번가 카페,커피숍,2011-10-06,서울 종로구 율곡로3길 17,1,,37.5764227904413,126.982592565586,AD,,11110540
성북동350,커피숍,2011-10-07,서울 성북구 성북로31길 84,1,59.40,37.5942627831587,126.988167243915,TR,3110280,11290525
와플베르비에,커피숍,2011-10-26,서울 양천구 목동동로 293,1,36.30,37.5281783139269,126.875771989415,TR,3120114,11470510
토프레소,커피숍,2011-10-27,서울 구로구 개봉로 59,1,37.17,37.4910212615802,126.855709869345,TR,3130225,11530750
이디야(회현SK리더스점),커피숍,2011-11-01,서울 중구 퇴계로 72,1,29.95,37.5591253443035,126.980603849217,AL,3110039,11140540
153 cafe,커피숍,2011-11-14,서울 서초구 서초중앙로 251,-1,41.25,37.5038269694394,127.010559264499,TR,3120170,11650581
하늘공원 사주카페,커피숍,2007-12-11,서울 중구 명동8길 8-11,4,80.53,37.5631800634805,126.98396292275,TR,3120028,11140550
커피나누기,커피숍,2010-02-05,서울 양천구 목동동로 437,1,58.99,37.5376583327616,126.88470727631,AD,,11470550
꿈을볶는커피하우스,커피숍,1997-05-28,서울 구로구 경인로53길 15,,34.80,37.5020321024364,126.876117278882,TR,3120125,11530530
커피브론즈(COFFEE BRONZE),커피숍,2011-10-20,서울 종로구 율곡로5길 20,1,,37.577086774668,126.984853702875,TR,3120007,11110540
더힐커피,커피숍,2011-12-13,서울 용산구 독서당로 111,,75.73,37.5361228594578,127.007307641122,AL,3110098,11170685
뷰티플건강&coffee,커피숍,2011-12-15,서울 구로구 구로동로22길 5-26,,43.00,37.4899922333078,126.88494442244,TR,3130229,11530550
케냐키암부,커피숍,2011-12-16,서울 용산구 회나무로44길 36,1,37.01,37.5398443154452,126.99560944941,TR,3110085,11170660
카페카페(cafe & cafe),커피숍,2011-12-21,서울 노원구 상계로 64,1,13.22,37.6557918268818,127.062277905261,TR,3120081,11350640
카페도쎄(Cafe Doce),커피숍,2012-01-31,서울 성동구 행당로 76,1,21.08,37.5562344985329,127.027536046634,AL,3110108,11200570
티나모우,커피숍,2012-02-10,서울 서초구 신반포로 176,1,5.32,37.5039351769908,127.002413006799,TR,3120167,11650581
지에스(gs)25 화곡영광점내,커피숍,2012-02-13,서울 강서구 곰달래로 88,1,3.30,37.5301640940002,126.842646371479,TR,3110656,11500540
