nm,type,addr,lat,lng
"이글타운
아파트형공장",지식산업센터,서울 성동구 광나루로6길 20,37.5467445511468,127.061139208601
영동테크노타워,지식산업센터,서울 성동구 아차산로 103,37.545048444535,127.055814549422
"삼환디지털
벤처타워",지식산업센터,서울 성동구 아차산로15길 52,37.5473259773483,127.064669063828
(주)삼우,지식산업센터,서울 성동구 연무장17길 3,37.5411322229929,127.060797320295
풍림테크원,지식산업센터,서울 성동구 성수이로18길 31,37.5419531271509,127.06061547118
"성수동
 우림e-BIZ Center",지식산업센터,서울 성동구 광나루로6길 35,37.5467997268051,127.063296654148
아주디지털타워,지식산업센터,서울 성동구 아차산로5길 7,37.5466791226301,127.051953271915
서울숲 코오롱 1차,지식산업센터,서울 성동구 성수일로4길 25,37.5425050119214,127.051865849456
한신 아크밸리,지식산업센터,서울 성동구 성수이로22길 37,37.5439218096116,127.061316029179
"서울숲 
한라시그마밸리",지식산업센터,서울 성동구 성수이로 51,37.540276455651,127.055100973263
휴먼테코,지식산업센터,서울 성동구 아차산로17길 57,37.5474862821389,127.065779880502
"서울숲 코오롱
디지털타워3차",지식산업센터,서울 성동구 아차산로 49,37.5467876194278,127.050037317792
"서울숲 코오롱
디지털타워2차",지식산업센터,서울 성동구 성수이로7길 27,37.5415739384899,127.053438588226
이레타워,지식산업센터,서울 성동구 아차산로9길 21,37.5460749068449,127.058332880017
"서울숲
IT 밸리",지식산업센터,서울 성동구 성수일로 77,37.5474049437892,127.050343491959
서울숲 SK V1 타워,지식산업센터,서울 성동구 성수일로8길 5,37.5470746286973,127.051616327555
아연디지털타워,지식산업센터,서울 성동구 성수일로6길 33,37.544778448846,127.053800602326
성수에이팩센터,지식산업센터,서울 성동구 아차산로7나길 18,37.5477017276698,127.057460313588
"성수동
아이에스비즈타워",지식산업센터,서울 성동구 성수이로 147,37.5480237777484,127.057577230943
"서울숲 
한라에코벨리",지식산업센터,서울 성동구 뚝섬로1길 25,37.5436380420167,127.046396018851
"서울숲
한라시그마밸리II",지식산업센터,서울 성동구 성수이로7길 7,37.5398076019937,127.054460766673
에이스성수타워1차,지식산업센터,서울 성동구 광나루로8길 10,37.5473095206398,127.063615746686
"에이스하이앤드
 성수타워",지식산업센터,서울 성동구 성수이로10길 14,37.5401307747523,127.056789858953
서울숲IT캐슬,지식산업센터,서울 성동구 광나루로 130,37.5509787653401,127.044720723884
"서울숲
드림타워(삼공)",지식산업센터,서울 성동구 성수이로 66,37.5406187104947,127.05613180378
신한IT타워,지식산업센터,서울 성동구 상원길 17-1,37.5456284736578,127.048770525689
BY센터,지식산업센터,서울 성동구 성수일로 56,37.5453609031236,127.050424270137
포휴,지식산업센터,서울 성동구 왕십리로 58,37.5426958782317,127.045205280472
신내테크노타운,지식산업센터,서울 중랑구 봉화산로 123,37.6040273751759,127.087795907582
강북전자공단,지식산업센터,서울 강북구 덕릉로40길 74,37.634162368067,127.033671249468
강북유니온빌딩,지식산업센터,서울 강북구 한천로109길 10,37.6288059246607,127.043312515269
아시아미디어타워,지식산업센터,서울 중구 충무로 29,37.563836750265,126.992508328619
동대문패션비즈센터 ,지식산업센터,서울 중구 을지로45길 46,37.5663548952676,127.012362709547
산타플러스,지식산업센터,서울 관악구 난곡로 60,37.4608681432511,126.919395468118
