listing_id,addr,lat,lng,business_type,transaction_type,sale_price,key_money,deposit,monthly_rent,maintenance_fee,size_m2,floor,flpop_type,trdar_cd,adstrd_cd
818650,서울특별시 강남구 논현동,37.5098237941,127.0277513053,기타주점,월세,0,100000000,20000000,1650000,0,42.98,1층,T,3110955,11680521
818641,서울특별시 강남구 논현동,37.5099790201,127.0266519853,미용/네일/피부관리,월세,0,50000000,50000000,3200000,200000,33.06,1층,T,3110955,11680521
818647,서울특별시 강남구 논현동,37.5085809204385,127.025475221611,기타주점,월세,0,60000000,45000000,4000000,100000,132.23,2층,T,3120185,11680521
818657,서울특별시 강남구 논현동,37.5109168549,127.022883624,퓨전/쌀국수,월세,0,50000000,20000000,2420000,0,29.75,1층,T,3120185,11680521
818659,서울특별시 강남구 논현동,37.5091847279371,127.023972507853,퓨전/쌀국수,월세,0,30000000,40000000,1750000,0,20.0,1층,T,3130303,11680521
818663,서울특별시 강남구 논현동,37.5119248052971,127.02830404828,미용/네일/피부관리,월세,0,20000000,50000000,4000000,200000,82.64,1층,T,3120191,11680521
818682,서울특별시 강남구 논현동,37.5168987874746,127.026401068262,기타,월세,0,0,100000000,6500000,0,185.92,지하2층,T,3110953,11680521
818680,서울특별시 강남구 논현동,37.5084640255,127.0319220178,미용/네일/피부관리,월세,0,70000000,20000000,1640000,0,33.06,1층,T,3120194,11680521
818699,서울특별시 강남구 신사동,37.5201861071,127.0242574698,기타,월세,0,0,30000000,3000000,0,132.23,지하1층,T,3120186,11680510
818385,서울특별시 강남구 논현동,37.5156114975,127.0291922478,기타,월세,0,20000000,60000000,4200000,100000,161.98,지하1층,T,3120191,11680521
863133,서울특별시 강남구 논현동,37.5073409674,127.026252933,의류/멀티샵,월세,0,20000000,30000000,2600000,100000,29.75,1층,T,3120187,11680521
868234,서울특별시 강남구 신사동,37.5189607271162,127.024333993514,기타,월세,0,0,80000000,5400000,300000,81.8,1층,T,3120186,11680510
690765,서울특별시 강남구 논현동,37.5106397134921,127.036186123171,카페/커피,월세,0,35000000,30000000,2450000,70000,23.14,1층,T,3120199,11680531
860525,서울특별시 강남구 논현동,37.5072440303,127.0245247227,기타,월세,0,0,35000000,2600000,300000,92.56,3층,T,3120187,11680521
883091,서울특별시 강남구 역삼동,37.50584335,127.0339069104,미용/네일/피부관리,월세,0,25000000,30000000,3000000,350000,107.41,3층,T,3120194,11680640
882814,서울특별시 강남구 논현동,37.5089184374138,127.024186526809,기타주점,월세,0,20000000,25000000,2300000,200000,29.75,3층,T,3130303,11680521
864812,서울특별시 강남구 논현동,37.5170974741305,127.037925336541,한식/고기집,월세,0,100000000,40000000,2850000,0,85.95,2층,T,3120203,11680531
882274,서울특별시 강남구 논현동,37.5096644568,127.0308186321,골프/헬스,월세,0,30000000,30000000,2000000,300000,50.0,지하1층,T,3110955,11680521
882189,서울특별시 강남구 논현동,37.5161482361,127.0302240564,기타주점,월세,0,60000000,30000000,2650000,150000,33.06,1층,T,3120191,11680531
844060,서울특별시 강남구 논현동,37.5150699879,127.0326577994,미용/네일/피부관리,월세,0,30000000,40000000,1700000,400000,71.28,7층,T,3120191,11680531
881607,서울특별시 서초구 잠원동,37.5127266658701,127.019576874652,기타,월세,0,0,70000000,6000000,100000,204.96,1층,T,3120185,11650540
881523,서울특별시 강남구 역삼동,37.5052604993932,127.0302196666,카페/커피,월세,0,0,23000000,1950000,250000,36.36,지하2층,T,3120187,11680640
881291,서울특별시 강남구 역삼동,37.5067758822,127.0369384078,미용/네일/피부관리,월세,0,40000000,50000000,3000000,0,59.5,1층,T,3120194,11680640
819360,서울특별시 강남구 신사동,37.5198473771,127.0240265962,골프/헬스,월세,0,300000000,50000000,4570000,0,197.21,지하1층,T,3120186,11680510
799998,서울특별시 강남구 논현동,37.5122547309,127.034488924,기타,월세,0,120000000,30000000,2700000,300000,162.3,2층,T,3110961,11680531
879540,서울특별시 서초구 반포동,37.5086104347834,127.022086677524,사무실,월세,0,0,100000000,6300000,0,165.29,2층,T,3120185,11650560
879055,서울특별시 강남구 신사동,37.5186868370468,127.024261509172,기타주점,월세,0,275000000,50000000,4500000,0,264.46,지하1층,T,3120186,11680510
878801,서울특별시 강남구 논현동,37.5201554557138,127.031908898727,기타주점,월세,0,30000000,20000000,1500000,0,29.75,1층,T,3120190,11680531
878731,서울특별시 강남구 논현동,37.506705548598,127.026788237715,사무실,월세,0,0,60000000,5500000,400000,117.72,3층,T,3120187,11680521
878732,서울특별시 강남구 논현동,37.506705548598,127.026788237715,사무실,월세,0,0,50000000,4800000,350000,102.6,4층,T,3120187,11680521
878734,서울특별시 강남구 논현동,37.506705548598,127.026788237715,사무실,월세,0,0,50000000,4300000,300000,88.93,5층,T,3120187,11680521
878904,서울특별시 서초구 반포동,37.5082319752422,127.020804441327,가구/가전,월세,0,23000000,30000000,1500000,100000,42.15,1층,T,3120176,11650560
878804,서울특별시 강남구 신사동,37.519004317,127.0226146096,기타주점,월세,0,0,150000000,13000000,2000000,231.4,2층,T,3120186,11680510
878836,서울특별시 강남구 신사동,37.5201861071,127.0242574698,기타주점,월세,0,30000000,50000000,3300000,0,76.03,1층,T,3120186,11680510
878668,서울특별시 강남구 신사동,37.5180012026957,127.022756947141,기타주점,월세,0,100000000,50000000,5100000,500000,211.57,지하1층,T,3120186,11680510
